address;lon;lat;CnpjBase;CnpjSequencial;CnpjDv;NomeIf;Segmento;CodigoCompe;NomeAgencia;Endereco;Numero;Complemento;Bairro;Cep;MunicipioIbge;Municipio;UF;DataInicio;DDD;Telefone;Posicao;endereco_completo
Rua Doutor João Ribeiro 304, Penha, São Paulo, 03634-000;-46.547319966623235;-23.524209989013244;360305;3188;99;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;3188.0;SHOPPING PENHA, SP;AVENIDA DOUTOR JOAO RIBEIRO, NUM 304;;LOJA 2122/2122B - SHOPPING CENTER PENHA;PENHA DE FRANCA;03634-000;3550308;SAO PAULO;SP;20/02/2006;11.0;35211450.0;28/12/2021;AVENIDA DOUTOR JOAO RIBEIRO, NUM 304, , PENHA DE FRANCA, 03634-000, SAO PAULO
Avenida Doutor Guilherme Dumont Vilares, Vila Andrade, São Paulo, 05640-003;-46.74061047186421;-23.619294159886547;360305;3256;74;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;3256.0;PORTAL DO MORUMBI, SP;AVENIDA DOUTOR GUILHERME DUMONT VILLARES;;;VILA SUZANA;05640-003;3550308;SAO PAULO;SP;12/12/2006;11.0;35839250.0;28/12/2021;AVENIDA DOUTOR GUILHERME DUMONT VILLARES, , VILA SUZANA, 05640-003, SAO PAULO
Avenida Eng. Heitor Antônio Eiras Garcia, Raposo Tavares, São Paulo, 05564-100;-46.76154985485411;-23.5867366151938;360305;3271;3;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;3271.0;RAPOSO TAVARES, SP;AVENIDA ENG HEITOR ANTONIO EIRAS GARCIA;;;JARDIM RAPOSO TAVARES;05564-100;3550308;SAO PAULO;SP;11/06/2007;11.0;37576251.0;28/12/2021;AVENIDA ENG HEITOR ANTONIO EIRAS GARCIA, , JARDIM RAPOSO TAVARES, 05564-100, SAO PAULO
Avenida Sapopemba 7375, Sapopemba, São Paulo, 03374-001;-46.52734002402394;-23.594259984602346;360305;4011;9;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;4011.0;SAPOPEMBA, SP;AVENIDA SAPOPEMBA, NUM 7375;;;ZONA LESTE;03374-001;3550308;SAO PAULO;SP;31/08/1981;11.0;35217900.0;28/12/2021;AVENIDA SAPOPEMBA, NUM 7375, , ZONA LESTE, 03374-001, SAO PAULO
Avenida São Lucas 180, São Lucas, São Paulo, 03239-000;-46.54717998884021;-23.59443998597304;360305;4032;25;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;4032.0;PARQUE SAO LUCAS, SP;AVENIDA SAO LUCAS, NUM 180;;;PARQUE SAO LUCAS;03239-000;3550308;SAO PAULO;SP;19/04/1999;11.0;32997150.0;28/12/2021;AVENIDA SAO LUCAS, NUM 180, , PARQUE SAO LUCAS, 03239-000, SAO PAULO
Avenida Tucuruvi 878, Tucuruvi, São Paulo, 02305-002;-46.603490033468006;-23.48141999611697;360305;4033;6;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;4033.0;TUCURUVI, SP;AVENIDA TUCURUVI, NUM 878, 882, 890, 894;;;TUCURUVI;02304-002;3550308;SAO PAULO;SP;04/01/1999;11.0;35038650.0;28/12/2021;AVENIDA TUCURUVI, NUM 878, 882, 890, 894, , TUCURUVI, 02304-002, SAO PAULO
Rua Schiling 478, Vila Leopoldina, São Paulo, 05302-001;-46.7291899988098;-23.530739994501104;360305;4038;10;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;4038.0;RUA SCHILLING, SP;RUA SCHILLING, NUM 478;;;VILA LEOPOLDINA;05302-001;3550308;SAO PAULO;SP;19/10/1998;11.0;35031850.0;28/12/2021;RUA SCHILLING, NUM 478, , VILA LEOPOLDINA, 05302-001, SAO PAULO
Praça Novo Mundo 211, Vila Maria, São Paulo, 02185-000;-46.5685599607269;-23.51665998972797;360305;4047;1;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;4047.0;PARQUE NOVO MUNDO, SP;PRACA NOVO MUNDO, NUM 211/213;;;PARQUE NOVO MUNDO;02185-000;3550308;SAO PAULO;SP;01/02/1999;11.0;31745578.0;28/12/2021;PRACA NOVO MUNDO, NUM 211/213, , PARQUE NOVO MUNDO, 02185-000, SAO PAULO
Rua Guerino Giovani Leardini 63, Pirituba, São Paulo, 02937-040;-46.721100037321975;-23.487689994968335;360305;4049;73;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;4049.0;PIRITUBA, SP;RUA GUERINO GIOVANI LEARDINI - NUM 63/67;;;PIRITUBA;02937-040;3550308;SAO PAULO;SP;18/05/1999;11.0;35031800.0;28/12/2021;RUA GUERINO GIOVANI LEARDINI - NUM 63/67, , PIRITUBA, 02937-040, SAO PAULO
Avenida Itaberaba 1270, Freguesia do Ó, São Paulo, 02734-000;-46.694480034846094;-23.491150002689636;360305;4055;11;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;4055.0;PARAPUA, SP;AVENIDA ITABERABA, NUM 1270;;;NOSSA SENHORA DO Ó;02734-000;3550308;SAO PAULO;SP;14/05/1999;11.0;35033100.0;28/12/2021;AVENIDA ITABERABA, NUM 1270, , NOSSA SENHORA DO Ó, 02734-000, SAO PAULO
