address;lon;lat;CnpjBase;CnpjSequencial;CnpjDv;NomeIf;Segmento;CodigoCompe;NomeAgencia;Endereco;Numero;Complemento;Bairro;Cep;MunicipioIbge;Municipio;UF;DataInicio;DDD;Telefone;Posicao;endereco_completo
Avenida Brigadeiro Faria Lima 3064, Itaim Bibi, São Paulo, 01451-000;-46.684069962559306;-23.583290001183414;30306294;16;21;BANCO BTG PACTUAL S.A.;Banco Múltiplo;30.0;BAAS;AVENIDA BRIGADEIRO FARIA LIMA;3064;12º ANDAR;ITAIM BIBI;01425-010;3550308;SAO PAULO;SP;07/08/2020;11.0;3383.0;28/12/2021;AVENIDA BRIGADEIRO FARIA LIMA, 3064, ITAIM BIBI, 01425-010, SAO PAULO
Rua Cantagalo 501, Tatuapé, São Paulo, 03319-000;-46.56914996289143;-23.546160014134912;58160789;120;53;BANCO SAFRA S.A.;Banco Múltiplo;140.0;TATUAPE;RUA CANTAGALO, CONJS. 501 A 505 BLOCO A;;LOJAS 1, 2, 3, 4 E 5 DO PAVIMENTO TÉRREO;VILA GOMES CARDIM;03319-000;3550308;SAO PAULO;SP;28/03/1994;11.0;20956150.0;28/12/2021;RUA CANTAGALO, CONJS. 501 A 505 BLOCO A, , VILA GOMES CARDIM, 03319-000, SAO PAULO
Avenida Paulista 1450, Bela Vista, São Paulo, 01310-100;-46.65516002413591;-23.5623499953944;58160789;200;72;BANCO SAFRA S.A.;Banco Múltiplo;282.0;DIGITAL;AVENIDA PAULISTA;1450;17º AND CONJ.175 - COND. CETENCO PLAZA TORRE NORTE;BELA VISTA;01310-930;3550308;SAO PAULO;SP;03/12/2019;11.0;31757575.0;28/12/2021;AVENIDA PAULISTA, 1450, BELA VISTA, 01310-930, SAO PAULO
Rua Augusta, Jardim Paulista, São Paulo, 01413-100;-46.66701489354862;-23.564621234212087;90400888;775;28;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;2073.0;ANTILHAS-SP-SP;RUA AUGUSTA;129;LJ / SLJ;CERQUEIRA CESAR;01413-100;3550308;SAO PAULO;SP;31/08/2006;11.0;30626366.0;28/12/2021;RUA AUGUSTA, 129, CERQUEIRA CESAR, 01413-100, SAO PAULO
Avenida Engenheiro Luís Carlos Berrini, Itaim Bibi, São Paulo, 04571-010;-46.69183994489342;-23.60271495701872;11703662;1;44;TRAVELEX BANCO DE CÂMBIO S.A.;Banco de Câmbio;;MATRIZ;AV ENG. LUIZ CARLOS BERRINI;;5º ANDAR - CONJS 51 E 52 - EDIFÍCIO BERRINI ONE;CIDADE MONÇÕES;04571-010;3550308;SAO PAULO;SP;01/03/2016;11.0;36141100.0;28/12/2021;AV ENG. LUIZ CARLOS BERRINI, , CIDADE MONÇÕES, 04571-010, SAO PAULO
Avenida Brigadeiro Faria Lima 3064, Itaim Bibi, São Paulo, 01451-000;-46.684069962559306;-23.583290001183414;69720910;1;45;CCB BRASIL ARRENDAMENTO MERCANTIL S/A;Sociedade de Arrendamento Mercantil;;MATRIZ;AVENIDA BRIGADEIRO FARIA LIMA;3064;2º ANDAR, SALA 6;ITAIM BIBI;04538-132;3550308;SAO PAULO;SP;02/10/2018;;;28/12/2021;AVENIDA BRIGADEIRO FARIA LIMA, 3064, ITAIM BIBI, 04538-132, SAO PAULO
Avenida das Nações Unidas 14401, Santo Amaro, São Paulo, 04795-100;-46.70430002114935;-23.624489988956825;52937216;1;81;BEXS CORRETORA DE CÂMBIO S/A;Sociedade Corretora de Câmbio;;MATRIZ;AVENIDA DAS NAÇÕES UNIDAS;14401;11 ANDAR;BROOKLIN PAULISTA;04578-901;3550308;SAO PAULO;SP;20/08/1996;11.0;27125300.0;28/12/2021;AVENIDA DAS NAÇÕES UNIDAS, 14401, BROOKLIN PAULISTA, 04578-901, SAO PAULO
Rua Doutor João Ribeiro, Penha, São Paulo, 03634-010;-46.54755877718277;-23.524362929744356;90400888;1600;0;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;4341.0;001-4341 SP-AV.PENHA DE FRANCA;R DR JOAO RIBEIRO;;;PENHA DE FRANCA;03634-010;3550308;SAO PAULO;SP;30/04/2009;;8.0;28/12/2021;R DR JOAO RIBEIRO, , PENHA DE FRANCA, 03634-010, SAO PAULO
Avenida Presidente Juscelino Kubitschek, Itaim Bibi, São Paulo, 04543-011;-46.68628486239098;-23.591626163434366;90400888;807;40;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;2270.0;001 2270 PRIVATE;AV P JUSC. KUBITSCHEK;;7ANDAR;ITAIM BIBI;04543-011;3550308;SAO PAULO;SP;31/08/2006;11.0;35535027.0;28/12/2021;AV P JUSC. KUBITSCHEK, , ITAIM BIBI, 04543-011, SAO PAULO
Praça Eduardo Rudge;-46.615849999999966;-23.531469999999956;90400888;2555;66;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;987.0;001 0987 PARI I;PCA EDUARDO RUDGE;;;PARI;03028-010;3550308;SAO PAULO;SP;30/12/2010;11.0;26121500.0;28/12/2021;PCA EDUARDO RUDGE, , PARI, 03028-010, SAO PAULO
Avenida Imirim 1421, Santana, São Paulo, 02465-100;-46.6477999587766;-23.49346998776005;90400888;1422;81;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;4728.0;001 4728 URB-SP-IMIRIM;AVENIDA IMIRIM;1421;1128;IMIRIM;02465-100;3550308;SAO PAULO;SP;30/04/2009;11.0;30112900.0;28/12/2021;AVENIDA IMIRIM, 1421, IMIRIM, 02465-100, SAO PAULO
Avenida Ipiranga, República, São Paulo, 01040-000;-46.63878725462067;-23.5412479211878;90400888;887;24;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;243.0;VINTE QUATRO DE MAIO;AV IPIRANGA;;7º ANDAR;REPUBLICA;01040-000;3550308;SAO PAULO;SP;31/08/2006;11.0;33527250.0;28/12/2021;AV IPIRANGA, , REPUBLICA, 01040-000, SAO PAULO
Avenida Pedroso de Morais 1201, Pinheiros, São Paulo, 05420-001;-46.693781690531786;-23.560986318431606;90400888;806;69;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;2199.0;PCA PANAMERICANA-SP-SP;AV PEDROSO DE MORAIS;1201;;PINHEIROS;05420-003;3550308;SAO PAULO;SP;31/08/2006;11.0;30245151.0;28/12/2021;AV PEDROSO DE MORAIS, 1201, PINHEIROS, 05420-003, SAO PAULO
Rua Líbero Badaró, Sé, São Paulo, 01009-000;-46.63753278141065;-23.548948119937297;24074692;1;80;GUITTA CORRETORA DE CAMBIO LTDA.;Sociedade Corretora de Câmbio;;MATRIZ;RUA LIBERO BADARO,;;6 AND CJ A / B;CENTRO;01009-000;3550308;SAO PAULO;SP;03/10/1988;11.0;31163500.0;28/12/2021;RUA LIBERO BADARO,, , CENTRO, 01009-000, SAO PAULO
Rua Doutor Eduardo de Souza Aranha, Itaim Bibi, São Paulo, 04543-121;-46.67566752727955;-23.58896055380644;63062749;1;83;FATOR S.A. - CORRETORA DE VALORES;Sociedade Corretora de TVM;;MATRIZ;RUA DOUTOR EDUARDO DE SOUZA ARANHA;;5º ANDAR - CONJUNTOS 51 E 52;VILA NOVA CONCEIÇÃO;04543-121;3550308;SAO PAULO;SP;09/02/1971;11.0;30499400.0;28/12/2021;RUA DOUTOR EDUARDO DE SOUZA ARANHA, , VILA NOVA CONCEIÇÃO, 04543-121, SAO PAULO
Rua Joaquim Floriano 960, Itaim Bibi, São Paulo, 04534-004;-46.67926998188685;-23.58573998957209;1788147;1;50;H.COMMCOR DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;Sociedade Distribuidora de TVM;;MATRIZ;RUA JOAQUIM FLORIANO, Nº 960;;14º ANDAR, CONJUNTOS 141 E 142;ITAIM BIBI;04534-004;3550308;SAO PAULO;SP;30/03/2009;11.0;21272741.0;28/12/2021;RUA JOAQUIM FLORIANO, Nº 960, , ITAIM BIBI, 04534-004, SAO PAULO
05317-020, Vila Leopoldina, São Paulo;-46.73273942065788;-23.540240838153732;23903068;1;86;BANCO KOMATSU DO BRASIL S.A.;Banco Múltiplo;1.0;MATRIZ;AVENIDA MANUEL BANDEIRA;291;BLOCO D - CONJ 11 - COND ATLAS OFFICE PARK;VILA LEOPOLDINA;05317-020;3550308;SAO PAULO;SP;25/04/2016;;;28/12/2021;AVENIDA MANUEL BANDEIRA, 291, VILA LEOPOLDINA, 05317-020, SAO PAULO
Avenida Presidente Juscelino Kubitschek 44, Itaim Bibi, São Paulo, 04543-000;-46.67129033146845;-23.58512265701284;62144175;1;20;BANCO PINE S.A.;Banco Múltiplo;1.0;MATRIZ;AV. PRES. JUS. KUBITSCHEK, SL 44,54 E 64;;4º, 5º E 6º AND. -BLOCO 4- CONDOMÍNIO ED. SÃO LUIZ;VILA NOVA CONCEIÇÃO;04543-000;3550308;SAO PAULO;SP;17/09/1991;11.0;33725200.0;28/12/2021;AV. PRES. JUS. KUBITSCHEK, SL 44,54 E 64, , VILA NOVA CONCEIÇÃO, 04543-000, SAO PAULO
Avenida Presidente Juscelino Kubitschek, Itaim Bibi, São Paulo, 04543-011;-46.68016418678396;-23.590297471743032;58160789;176;8;BANCO SAFRA S.A.;Banco Múltiplo;198.0;JK;AV. PRES. JUSCELINO KUBITSCHEK, LOJA,;;SOBRELOJA, 15º, 16º ANDAR,SALAS 151,152/161 E 162;VILA NOVA CONCEIÇÃO;04543-011;3550308;SAO PAULO;SP;22/03/2011;11.0;32172502.0;28/12/2021;AV. PRES. JUSCELINO KUBITSCHEK, LOJA,, , VILA NOVA CONCEIÇÃO, 04543-011, SAO PAULO
Avenida Paulista 2064, Consolação, São Paulo, 01310-200;-46.6595699948536;-23.558399981613462;90400888;2952;74;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;1821.0;001 1821 SELECT AV PAULISTA SP;AV PAULISTA;2064;TERRO;BELA VISTA;01310-100;3550308;SAO PAULO;SP;05/12/2016;11.0;31493650.0;28/12/2021;AV PAULISTA, 2064, BELA VISTA, 01310-100, SAO PAULO
Avenida Paulista 2028, Consolação, São Paulo, 01310-200;-46.659339995430486;-23.558639997410893;90400888;833;31;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;204.0;001 0204 PAMPLONA II;AV PAULISTA;2028;6 ANDAR;BELA VISTA;01311-926;3550308;SAO PAULO;SP;31/08/2006;11.0;30165377.0;28/12/2021;AV PAULISTA, 2028, BELA VISTA, 01311-926, SAO PAULO
Avenida Paulista, Jardim Paulista, São Paulo, 01311-200;-46.65794598114107;-23.560235980568027;62375134;1;44;BRAM - BRADESCO ASSET MANAGEMENT S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;Sociedade Distribuidora de TVM;;MATRIZ;AV PAULISTA;;6 ANDAR;CERQUEIRA CESAR;01310-917;3550308;SAO PAULO;SP;13/02/2002;;;28/12/2021;AV PAULISTA, , CERQUEIRA CESAR, 01310-917, SAO PAULO
Avenida Brigadeiro Faria Lima 3144, Itaim Bibi, São Paulo, 01451-000;-46.683699985353144;-23.5839999902919;90400888;2873;36;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;1696.0;001 1696 SELECT FARIA LIMA SP;AV BRIG FARIA LIMA;3144;6ANDAR;JD PAULISTANO;01452-000;3550308;SAO PAULO;SP;05/12/2016;11.0;30382700.0;28/12/2021;AV BRIG FARIA LIMA, 3144, JD PAULISTANO, 01452-000, SAO PAULO
Avenida Brigadeiro Faria Lima, Itaim Bibi, São Paulo, 04538-132;-46.68227378111244;-23.587956396220477;69720894;1;90;CCB BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;Sociedade Distribuidora de TVM;;MATRIZ;AVENIDA BRIGADEIRO FARIA LIMA;2018;2º ANDAR;ITAIM BIBI;04538-132;3550308;SAO PAULO;SP;05/10/2015;;;28/12/2021;AVENIDA BRIGADEIRO FARIA LIMA, 2018, ITAIM BIBI, 04538-132, SAO PAULO
Avenida Presidente Juscelino Kubitschek, Itaim Bibi, São Paulo, 04543-000;-46.67599063895138;-23.588929151604663;2332886;11;78;XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;Sociedade Corretora de TVM;2.0;CLEAR CORRETORA;AVENIDA PRESIDENTE JUSCELINO KUBITSCHECK;;TORRE SUL, 25º AO 30º ANDARES;VILA NOVA CONCEIÇÃO;04543-907;3550308;SAO PAULO;SP;07/10/2008;11.0;35261300.0;28/12/2021;AVENIDA PRESIDENTE JUSCELINO KUBITSCHECK, , VILA NOVA CONCEIÇÃO, 04543-907, SAO PAULO
Avenida Doutor Eduardo Cotching, Vila Formosa, São Paulo, 03356-001;-46.54021583731156;-23.56938242436764;90400888;1440;63;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;4631.0;001 4631 AV EDUARDO COTCHING-SP I;AV DR EDUARDO COTCHING;;;VILA FORMOSA;03356-001;3550308;SAO PAULO;SP;30/04/2009;11.0;20757900.0;28/12/2021;AV DR EDUARDO COTCHING, , VILA FORMOSA, 03356-001, SAO PAULO
Avenida Paulista 2028, Consolação, São Paulo, 01310-200;-46.659339995430486;-23.558639997410893;60746948;6667;57;BANCO BRADESCO S.A.;Banco Múltiplo;6935.0;PRIME DIGITAL PAULISTA, SP;AV PAULISTA;2028;11º ANDAR;BELA VISTA;01310-100;3550308;SAO PAULO;SP;08/08/2018;11.0;21784615.0;28/12/2021;AV PAULISTA, 2028, BELA VISTA, 01310-100, SAO PAULO
Avenida Paulista, Bela Vista, São Paulo, 01311-000;-46.648864921484545;-23.567874968782007;33709114;1;64;CITIGROUP GLOBAL MARKETS BRASIL, CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.;Sociedade Corretora de TVM;;MATRIZ;AV PAULISTA;;14 ANDAR (PARTE);BELA VISTA;01311-920;3550308;SAO PAULO;SP;10/08/1990;;;28/12/2021;AV PAULISTA, , BELA VISTA, 01311-920, SAO PAULO
Avenida Brigadeiro Faria Lima 3900, Itaim Bibi, São Paulo, 04538-132;-46.681769968327956;-23.59020000025174;30306294;19;74;BANCO BTG PACTUAL S.A.;Banco Múltiplo;99.0;GEMINI;AV. BRIGADEIRO FARIA LIMA;3900;9º ANDAR;ITAIM BIBI;00000-000;3550308;SAO PAULO;SP;17/11/2020;11.0;33832000.0;28/12/2021;AV. BRIGADEIRO FARIA LIMA, 3900, ITAIM BIBI, 00000-000, SAO PAULO
Avenida Brigadeiro Faria Lima 1384, Pinheiros, São Paulo, 01451-001;-46.69176002344665;-23.56988000384061;30306294;18;93;BANCO BTG PACTUAL S.A.;Banco Múltiplo;55.0;AQUICARD;AV. BRIGADEIRO FARIA LIMA;001384;9º ANDAR;ITAIM BIBI;00000-000;3550308;SAO PAULO;SP;17/11/2020;11.0;33832000.0;28/12/2021;AV. BRIGADEIRO FARIA LIMA, 001384, ITAIM BIBI, 00000-000, SAO PAULO
Avenida Brigadeiro Faria Lima, Pinheiros, São Paulo, 01452-000;-46.68775988588472;-23.575614964857515;61855045;34;9;BRADESCO S.A. CORRETORA DE TITULOS E VALORES MOBILIARIOS;Sociedade Corretora de TVM;;FARIA LIMA;AVENIDA BRIGADEIRO FARIA LIMA;2018;PAVIMENTO TÉRREO;JARDIM PAULISTANO;01452-000;3550308;SAO PAULO;SP;23/05/2016;11.0;36846046.0;28/12/2021;AVENIDA BRIGADEIRO FARIA LIMA, 2018, JARDIM PAULISTANO, 01452-000, SAO PAULO
Rua Araritaguaba, Vila Maria, São Paulo, 02122-011;-46.58389973656731;-23.513558706247096;90400888;1384;11;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;3820.0;001 3820 N SRA CANDELARIA-CAP-SP I;R ARARITAGUABA;;;VILA MARIA;02122-011;3550308;SAO PAULO;SP;30/04/2009;11.0;26322750.0;28/12/2021;R ARARITAGUABA, , VILA MARIA, 02122-011, SAO PAULO
Rua Cláudio Soares 72, Pinheiros, São Paulo, 05422-030;-46.69347001551347;-23.56843999287507;34254279;1;51;NEXOOS SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.;Sociedade de Empréstimo entre Pessoas;;MATRIZ;RUA CLAUDIO SOARES 72;;CONJS 1305 A 1310 - EDIFICIO AHEAD;PINHEIROS;05422-030;3550308;SAO PAULO;SP;22/08/2019;11.0;49495929.0;28/12/2021;RUA CLAUDIO SOARES 72, , PINHEIROS, 05422-030, SAO PAULO
Avenida Brigadeiro Faria Lima, Itaim Bibi, São Paulo, 04538-132;-46.68227378111244;-23.587956396220477;2819125;1;73;UBS BRASIL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.;Sociedade Corretora de TVM;;MATRIZ;AVENIDA BRIGADEIRO FARIA LIMA,;;7º ANDAR - PARTE;ITAIM BIBI;04538-132;3550308;SAO PAULO;SP;27/10/2000;11.0;45047290.0;28/12/2021;AVENIDA BRIGADEIRO FARIA LIMA,, , ITAIM BIBI, 04538-132, SAO PAULO
Praça Sílvio Romero, Tatuapé, São Paulo, 03323-000;-46.57366861294436;-23.545096995458852;33479023;81;64;BANCO CITIBANK S.A.;Banco Múltiplo;74.0;MOOCA;PRAÇA SÍLVIO ROMERO;;68, PARTE;TATUAPÉ;03323-000;3550308;SAO PAULO;SP;24/01/2000;;40093000.0;28/12/2021;PRAÇA SÍLVIO ROMERO, , TATUAPÉ, 03323-000, SAO PAULO
Avenida Presidente Juscelino Kubitschek, Itaim Bibi, São Paulo, 04543-011;-46.68628486239098;-23.591626163434366;61088183;1;33;BANCO MIZUHO DO BRASIL S.A.;Banco Múltiplo;1.0;MATRIZ;AV PRES JUSCELINO KUBITSCHEK;0360;TORRE E - 7ANDAR;VILA OLIMPIA;04543-011;3550308;SAO PAULO;SP;25/05/1911;11.0;55049844.0;28/12/2021;AV PRES JUSCELINO KUBITSCHEK, 0360, VILA OLIMPIA, 04543-011, SAO PAULO
Rua Borges Lagoa, Vila Mariana, São Paulo, 04038-031;-46.64394099708997;-23.597049267437924;60746948;2859;58;BANCO BRADESCO S.A.;Banco Múltiplo;2677.0;NAPOLEAO DE BARROS-HOSP.S.PAULO,URB.SAO PAULO, SP;RUA BORGES LAGOA;;;VILA CLEMENTINO;04038-031;3550308;SAO PAULO;SP;21/10/1996;11.0;55793466.0;28/12/2021;RUA BORGES LAGOA, , VILA CLEMENTINO, 04038-031, SAO PAULO
Avenida Ibirapuera 3103, Moema, São Paulo, 04029-200;-46.66774000351677;-23.609790016715323;90400888;638;10;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;2070.0;001 2070 AV. IBIRAPUERA-SP CAPITAL;AVENIDA IBIRAPUERA;3103;ESCRITÓRIO Nº 51, BLOCO I  TORRE IBIRAPUERA I,;INDIANÓPOLIS;04028-001;3550308;SAO PAULO;SP;31/08/2006;11.0;30545677.0;28/12/2021;AVENIDA IBIRAPUERA, 3103, INDIANÓPOLIS, 04028-001, SAO PAULO
Avenida Brigadeiro Faria Lima 3320, Itaim Bibi, São Paulo, 04538-132;-46.683130015937195;-23.58552000652324;60746948;8376;67;BANCO BRADESCO S.A.;Banco Múltiplo;1233.0;AGÊNCIA DIGITAL - SP;AVENIDA BRIGADEIRO FARIA LIMA;3320;2º ANDAR;JARDIM PAULISTANO;01451-000;3550308;SAO PAULO;SP;30/09/2015;11.0;21785084.0;28/12/2021;AVENIDA BRIGADEIRO FARIA LIMA, 3320, JARDIM PAULISTANO, 01451-000, SAO PAULO
Avenida Brigadeiro Faria Lima, Pinheiros, São Paulo, 01451-001;-46.69043468344513;-23.571951398953278;60701190;4960;45;ITAÚ UNIBANCO S.A.;Banco Múltiplo;8645.0;PERSONNALITÉ FL 1800;AVENIDA BRIGADEIRO FARIA LIMA;2613;LOJA;JARDIM PAULISTANO;01451-001;3550308;SAO PAULO;SP;28/05/2018;11.0;30034828.0;28/12/2021;AVENIDA BRIGADEIRO FARIA LIMA, 2613, JARDIM PAULISTANO, 01451-001, SAO PAULO
Avenida Brigadeiro Faria Lima, Itaim Bibi, São Paulo, 04538-132;-46.68227378111244;-23.587956396220477;60701190;4816;9;ITAÚ UNIBANCO S.A.;Banco Múltiplo;5300.0;ITAU BBA SP MATRIZ;AVENIDA BRIGADEIRO FARIA LIMA;2018;1 2 3 PARTE E 4 E 5 ANDARES;ITAIM BIBI;04538-132;3550308;SAO PAULO;SP;31/01/2014;11.0;30034828.0;28/12/2021;AVENIDA BRIGADEIRO FARIA LIMA, 2018, ITAIM BIBI, 04538-132, SAO PAULO
Avenida Engenheiro Luís Carlos Berrini, Itaim Bibi, São Paulo, 04571-010;-46.69183994489342;-23.60271495701872;60746948;8554;87;BANCO BRADESCO S.A.;Banco Múltiplo;7828.0;NOVA BERRINI - URB. SãO PAULO, SP;AVENIDA ENGENHEIRO LUIZ CARLOS BERRINI;921;ESQ COM RUA FURNAS;CIDADE MONÇÕES;04571-010;3550308;SAO PAULO;SP;10/10/2016;;;28/12/2021;AVENIDA ENGENHEIRO LUIZ CARLOS BERRINI, 921, CIDADE MONÇÕES, 04571-010, SAO PAULO
Avenida das Nações Unidas 14401, Santo Amaro, São Paulo, 04795-100;-46.70430002114935;-23.624489988956825;30172491;1;19;BANCO HYUNDAI CAPITAL BRASIL S.A.;Banco Múltiplo;1.0;MATRIZ;AVENIDA DAS NAÇÕES UNIDAS;14401;24º ANDAR;VILA GERTRUDES;04794-000;3550308;SAO PAULO;SP;21/02/2019;11.0;35535450.0;28/12/2021;AVENIDA DAS NAÇÕES UNIDAS, 14401, VILA GERTRUDES, 04794-000, SAO PAULO
Rua Capote Valente 120, Jardim Paulista, São Paulo, 05409-000;-46.67362996687817;-23.560139980893652;39544456;1;58;NU DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;Sociedade Distribuidora de TVM;;MATRIZ;RUA CAPOTE VALENTE, 120;;PARTE;PINHEIROS;05409-000;3550308;SAO PAULO;SP;23/12/2020;11.0;41183021.0;28/12/2021;RUA CAPOTE VALENTE, 120, , PINHEIROS, 05409-000, SAO PAULO
Rua da Consolação, República, São Paulo, 01302-000;-46.6427599203972;-23.547879938756992;40353377;2;20;FOURTRADE CORRETORA DE CÂMBIO LTDA.;Sociedade Corretora de Câmbio;;SAO PAULO;RUA CONSOLAÇÃO;;CONJUNTO 112 - 11.ANDAR;CONSOLAÇÃO;01302-904;3550308;SAO PAULO;SP;13/12/1993;11.0;21444700.0;28/12/2021;RUA CONSOLAÇÃO, , CONSOLAÇÃO, 01302-904, SAO PAULO
Avenida Mazzei 173, Tucuruvi, São Paulo, 02310-000;-46.60691903307183;-23.478409201880822;60701190;722;70;ITAÚ UNIBANCO S.A.;Banco Múltiplo;617.0;SAO PAULO/TUCURUVI;AV. MAZZEI,173;;;VILA MAZEI;02310-000;3550308;SAO PAULO;SP;17/05/1976;11.0;30034828.0;28/12/2021;AV. MAZZEI,173, , VILA MAZEI, 02310-000, SAO PAULO
Avenida Jabaquara 1219, Saúde, São Paulo, 04045-010;-46.638199997431684;-23.614819996810894;90400888;736;11;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;118.0;JABAQUARA-SP-SP;AV JABAQUARA 1219;;;JABAQUARA;04045-002;3550308;SAO PAULO;SP;31/08/2006;11.0;55911566.0;28/12/2021;AV JABAQUARA 1219, , JABAQUARA, 04045-002, SAO PAULO
Avenida Rebouças, Pinheiros, São Paulo, 05401-300;-46.68610995015413;-23.56866995038868;90400888;1631;6;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;4755.0;001 4755 AV REBOUCAS-SP II;AVENIDA REBOUCAS;;;PINHEIROS;05401-300;3550308;SAO PAULO;SP;30/04/2009;11.0;30606800.0;28/12/2021;AVENIDA REBOUCAS, , PINHEIROS, 05401-300, SAO PAULO
Praça Professor José Azevedo Antunes, Lapa, São Paulo, 05072-000;-46.70506994086554;-23.52415994905129;90400888;2534;31;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;988.0;001 0988 MONTEIRO DE MELO CAP SP;PCA PROF JOSE AZEVEDO ANTUNES;;;LAPA;05072-050;3550308;SAO PAULO;SP;29/10/2010;11.0;36434200.0;28/12/2021;PCA PROF JOSE AZEVEDO ANTUNES, , LAPA, 05072-050, SAO PAULO
Avenida Brigadeiro Faria Lima 3064, Itaim Bibi, São Paulo, 01451-000;-46.684069962559306;-23.583290001183414;48795256;1;69;BANCO ANDBANK (BRASIL) S.A.;Banco Múltiplo;18.0;MATRIZ;AVENIDA BRIGADEIRO FARIA LIMA;3064;9º ANDAR;JARDIM PAULISTANO;00000-000;3550308;SAO PAULO;SP;05/07/2010;11.0;30957070.0;28/12/2021;AVENIDA BRIGADEIRO FARIA LIMA, 3064, JARDIM PAULISTANO, 00000-000, SAO PAULO
Rua Joaquim Floriano, Itaim Bibi, São Paulo, 04534-011;-46.67401470640134;-23.58446557404271;62090873;1;90;STONEX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;Sociedade Distribuidora de TVM;;MATRIZ;RUA JOAQUIM FLORIANO;;14º ANDAR;ITAIM BIBI;04534-011;3550308;SAO PAULO;SP;25/05/2012;11.0;35095400.0;28/12/2021;RUA JOAQUIM FLORIANO, , ITAIM BIBI, 04534-011, SAO PAULO
Avenida Paulista, Bela Vista, São Paulo, 01310-200;-46.65770726242239;-23.56026793427354;11581339;1;45;MONEY PLUS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.;Sociedade de Crédito ao Microempreendedor;;MATRIZ;AV PAULISTA;;CONJUNTO 12;BELA VISTA;01311-200;3550308;SAO PAULO;SP;12/02/2010;11.0;38109333.0;28/12/2021;AV PAULISTA, , BELA VISTA, 01311-200, SAO PAULO
Avenida Paulista 1230, Bela Vista, São Paulo, 01310-100;-46.65329002153749;-23.563820013573306;0;5046;61;BANCO DO BRASIL S.A.;Banco Múltiplo;3132.0;LARGE CORPORATE 3132;AV PAULISTA, 1230;;7º ANDAR;B VISTA;01310-901;3550308;SAO PAULO;SP;25/06/2002;11.0;42986250.0;28/12/2021;AV PAULISTA, 1230, , B VISTA, 01310-901, SAO PAULO
Avenida Santa Marina 2618, Freguesia do Ó, São Paulo, 02732-040;-46.69456997266718;-23.50186999584635;0;1921;63;BANCO DO BRASIL S.A.;Banco Múltiplo;3017.0;EMPRESA FREGUESIA;AV SANTA MARINA 2618;;2 ANDAR;VL ALBERTINA;02732-040;3550308;SAO PAULO;SP;19/12/2000;11.0;40033001.0;28/12/2021;AV SANTA MARINA 2618, , VL ALBERTINA, 02732-040, SAO PAULO
Avenida Paulista 1230, Bela Vista, São Paulo, 01310-100;-46.65329002153749;-23.563820013573306;0;4773;20;BANCO DO BRASIL S.A.;Banco Múltiplo;2659.0;LARGE CORPORATE 2659;AV PAULISTA, 1230;;7° ANDAR;B VISTA;01310-901;3550308;SAO PAULO;SP;19/12/2005;11.0;42986200.0;28/12/2021;AV PAULISTA, 1230, , B VISTA, 01310-901, SAO PAULO
Avenida Presidente Juscelino Kubitschek 2041, Itaim Bibi, São Paulo, 04543-011;-46.69059996804717;-23.5903999924615;10866788;1;77;BANCO BANDEPE S.A.;Banco Múltiplo;1001.0;MATRIZ;AV. PRES. JUSCELINO KUBITSCHEK 2041;;CJ 111 PARTE 1 BLOCO A COND WTORRE JK;VILA NOVA CONCEIÇÃO;04543-011;3550308;SAO PAULO;SP;20/08/2009;81.0;34256244.0;28/12/2021;AV. PRES. JUSCELINO KUBITSCHEK 2041, , VILA NOVA CONCEIÇÃO, 04543-011, SAO PAULO
