distrito,pop_maior_15_anos
1,69427
2,35840
3,68601
4,71238
5,82837
6,13531
7,62389
8,38802
9,31088
10,26059
11,218848
12,46060
13,115528
14,33633
15,53930
16,89810
17,183273
18,111804
19,234878
20,72199
21,70521
22,227406
23,164144
24,109767
25,185565
26,50961
27,95061
28,95501
29,115482
30,305267
31,86131
32,77774
33,117416
34,93956
35,83180
36,185852
37,169565
38,188284
39,78605
40,19980
41,45185
42,169714
43,263985
44,104992
45,78846
46,234998
47,112070
48,57426
49,61730
50,64171
51,91579
52,6868
53,67816
54,43537
55,119216
56,15069
57,57544
58,129775
59,107836
60,99696
61,69852
62,57178
63,140328
64,74025
65,85228
66,52355
67,98109
68,217407
69,75241
70,96222
71,63892
72,119672
73,125395
74,69913
75,127980
76,233493
77,115547
78,21202
79,30331
80,82625
81,179298
82,82007
83,133631
84,123223
85,79407
86,46744
87,118801
88,38213
89,91125
90,114829
91,88176
92,100210
93,88100
94,99599
95,71300
96,136321
