"CnpjBase","CnpjSequencial","CnpjDv","NomeIf","Segmento","CodigoCompe","NomeAgencia","Endereco","Numero","Complemento","Bairro","Cep","MunicipioIbge","Municipio","UF","DataInicio","DDD","Telefone","Posicao"
92874270,3,1,"BANCO DIGIMAIS S.A.","Banco Múltiplo","00002","AGENCIA PAULISTA","RUA CUBATAO","1190","4 ANDAR","PARAISO","04012-911",3550308,"SAO PAULO","SP","13/03/2017","11","55555380","28/12/2021"
60746948,3476,51,"BANCO BRADESCO S.A.","Banco Múltiplo","01833","PRIME NACIONAL - URB. SãO PAULO, SP","AVENIDA PAULISTA","1450","MEZANINO","BELA VISTA","01310-200",3550308,"SAO PAULO","SP","22/09/2003","11","33721800","28/12/2021"
360305,3237,1,"CAIXA ECONOMICA FEDERAL","Caixa Econômica Federal","03237","ALBERTO BYINGTON, SP","AVENIDA ALBERTO BYINGTON, 2023,2029,2031","","","VILA MARIA","02127-002",3550308,"SAO PAULO","SP","09/06/2006","11","35217600","28/12/2021"
90400888,1374,40,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04775","001-4775 CAPELA DO SOCORRO-SP-SP","AV DE PINEDO","0353","","SOCORRO","04764-001",3550308,"SAO PAULO","SP","30/04/2009","11","55477100","28/12/2021"
33479023,112,3,"BANCO CITIBANK S.A.","Banco Múltiplo","00086","AGENCIA ANALIA FRANCO","PRAÇA SILVIO ROMERO","66 68","66/68 PARTE","TATUAPÉ","03323-000",3550308,"SAO PAULO","SP","25/08/2005","11","40093000","28/12/2021"
90400888,633,6,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","02166","001-2166 ALTO DA MOOCA","AVENIDA PAES DE BARROS","1999","","MOOCA","03115-001",3550308,"SAO PAULO","SP","31/08/2006","11","29663500","28/12/2021"
2801938,1,36,"BANCO MORGAN STANLEY S.A.","Banco Múltiplo","00001","MATRIZ","AV. BRIGADEIRO FARIA LIMA","001384","6º ANDAR E 8º ANDAR","ITAIM BIBI","04538-132",3550308,"SAO PAULO","SP","04/12/1998","11","30486000","28/12/2021"
360305,2862,45,"CAIXA ECONOMICA FEDERAL","Caixa Econômica Federal","02862","BERRINI, SP","AVENIDA ENGENHEIRO LUIZ CARLOS BERRINI","921","LOJAS 1 E 2","CIDADE MONCOES","04571-000",3550308,"SAO PAULO","SP","19/03/2004","11","21053900","28/12/2021"
90400888,1606,97,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04793","SP-BELA PAULISTA","AVENIDA PAULISTA,","1230","LJ 2","BELA VISTA","01310-910",3550308,"SAO PAULO","SP","30/04/2009","11","32538033","28/12/2021"
3532415,1,2,"BANCO ABN AMRO S.A.","Banco Múltiplo","00001","MATRIZ","RUA LEOPOLDO COUTO DE MAGALHÃES JUNIOR","758","4 ANDAR","ITAIM BIBI","04542-000",3550308,"SAO PAULO","SP","01/11/2013","11","30737400","28/12/2021"
90400888,840,60,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00154","001 0154 PAULISTA CENTER 3-SP-SP","AV. PAULISTA","1482","16º ANDAR","CERQUEIRA CÉSAR","01310-300",3550308,"SAO PAULO","SP","31/08/2006","11","30169955","28/12/2021"
0,3880,68,"BANCO DO BRASIL S.A.","Banco Múltiplo","03559","BOM RETIRO","RUA JULIO CONCEICAO","","","BOM RETIRO","01126-000",3550308,"SAO PAULO","SP","21/02/1992","11","38135604","28/12/2021"
360305,3744,54,"CAIXA ECONOMICA FEDERAL","Caixa Econômica Federal","03744","MARQUES DE SAO VICENTE, SP","AVENIDA MARQUES DE SAO VICENTE NUM 637","","","VARZEA DA BARRA FUNDA","01139-001",3550308,"SAO PAULO","SP","28/02/2012","11","33932800","28/12/2021"
60701190,522,44,"ITAÚ UNIBANCO S.A.","Banco Múltiplo","00350","S.PAULO/JOAQUIM FLORIANO","RUA JOAQUIM FLORIANO","","SALA 132 - PARTE","ITAIM","04534-003",3550308,"SAO PAULO","SP","09/10/1974","11","30034828","28/12/2021"
360305,3764,6,"CAIXA ECONOMICA FEDERAL","Caixa Econômica Federal","03764","RUA PAULA SOUSA, SP","RUA PAULA SOUSA NUM 146 152","","","SÉ","01027-000",3550308,"SAO PAULO","SP","28/02/2012","11","30559100","28/12/2021"
59285411,1,13,"BANCO PAN S.A.","Banco Múltiplo","00001","MATRIZ","AV. PAULISTA","001274","16º ANDAR","BELA VISTA","01310-100",3550308,"SAO PAULO","SP","02/05/1991","11","21925344","28/12/2021"
360305,244,70,"CAIXA ECONOMICA FEDERAL","Caixa Econômica Federal","00244","CASA VERDE, SP","RUA DOUTOR CESAR CASTIGLIONI JUNIOR","","","CASA VERDE","02515-000",3550308,"SAO PAULO","SP","14/09/1960","11","35031650","28/12/2021"
