simulacao,pop_total,pop_buffer,perc_atendimento,nome_distrito,cod_distrito
simulacao_6_3,70923,2760,0.03891544350915782,JOSE BONIFACIO,47
simulacao_6_3,148795,24546,0.1649652206055311,JD SAO LUIS,46
simulacao_6_3,53289,9510,0.1784608455778866,ARTUR ALVIM,5
simulacao_6_3,12937,3872,0.2992965911726057,JAGUARA,40
simulacao_6_3,57243,27394,0.47855633003161957,VILA PRUDENTE,93
simulacao_6_3,28845,7407,0.25678627145085803,JAGUARE,41
simulacao_6_3,106715,9189,0.086107857377126,JARAGUA,42
simulacao_6_3,65985,9353,0.14174433583390164,JD HELENA,44
simulacao_6_3,52431,49989,0.9534245007724438,JD PAULISTA,45
simulacao_6_3,85466,7626,0.08922846512063276,LAJEADO,96
simulacao_6_3,37636,19823,0.5267031565522372,LAPA,48
simulacao_6_3,40595,32860,0.8094592930163813,LIBERDADE,49
simulacao_6_3,41208,15191,0.3686420112599495,LIMAO,50
simulacao_6_3,64396,32705,0.5078731598235915,VILA MEDEIROS,92
simulacao_6_3,164446,4074,0.024774089974824564,JD ANGELA,43
simulacao_6_3,74193,925,0.012467483455312496,PARELHEIROS,55
simulacao_6_3,63979,11758,0.1837790525016021,VILA SONIA,94
simulacao_6_3,45297,21815,0.48159922290659424,AGUA RASA,1
simulacao_6_3,23607,6093,0.2581014105985513,ALTO DE PINHEIROS,2
simulacao_6_3,43082,0,0.0,ANHANGUERA,3
simulacao_6_3,45832,15484,0.337842555419794,ARICANDUVA,4
simulacao_6_3,8811,6030,0.6843718079673136,BARRA FUNDA,6
simulacao_6_3,41378,41044,0.9919280777224612,BELA VISTA,7
simulacao_6_3,25126,9412,0.3745920560375706,BELEM,8
simulacao_6_3,19956,14177,0.7104129083984766,BOM RETIRO,9
simulacao_6_3,16810,14400,0.8566329565734682,BRAS,10
simulacao_6_3,137272,10223,0.07447257998717874,BRASILANDIA,11
simulacao_6_3,30266,9370,0.30958831692328026,BUTANTA,12
simulacao_6_3,73074,15108,0.20674932260448312,CACHOEIRINHA,13
simulacao_6_3,21749,13095,0.6020966481217527,CAMBUCI,14
simulacao_6_3,35261,26107,0.7403930688295851,CAMPO BELO,15
simulacao_6_3,58047,20138,0.3469257670508381,CAMPO GRANDE,16
simulacao_6_3,116079,16357,0.14091265431301098,CAMPO LIMPO,17
simulacao_6_3,71558,7526,0.10517342575253641,CANGAIBA,18
simulacao_6_3,148086,37867,0.2557095201437003,CAPAO REDONDO,19
simulacao_6_3,46910,21975,0.46845022383287144,CARRAO,20
simulacao_6_3,45522,22540,0.4951452045164975,CASA VERDE,21
simulacao_6_3,144359,50469,0.3496075755581571,CID ADEMAR,22
simulacao_6_3,104426,12751,0.1221056058835922,CID DUTRA,23
simulacao_6_3,69814,4929,0.0706018850087375,CID LIDER,24
simulacao_6_3,115371,0,0.0,CID TIRADENTES,25
simulacao_6_3,34088,29821,0.8748239849800516,CONSOLACAO,26
simulacao_6_3,61633,18170,0.2948095987539143,CURSINO,27
simulacao_6_3,60670,15101,0.24890390637877038,ERMELINO MATARAZZO,28
simulacao_6_3,74568,28422,0.38115545542323787,FREGUESIA DO O,29
simulacao_6_3,191219,3194,0.01670336106767633,GRAJAU,30
simulacao_6_3,54067,6474,0.11974032219283481,GUAIANASES,31
simulacao_6_3,73335,6816,0.09294334219676825,IGUATEMI,33
simulacao_6_3,60885,29418,0.4831731953683173,IPIRANGA,34
simulacao_6_3,55031,54362,0.9878432156420927,ITAIM BIBI,35
simulacao_6_3,116852,26205,0.22425803580597678,ITAIM PAULISTA,36
simulacao_6_3,107486,41755,0.38846919598831475,ITAQUERA,37
simulacao_6_3,121161,44644,0.36846840154835303,JABAQUARA,38
simulacao_6_3,49983,7721,0.15447252065702338,JACANA,39
simulacao_6_3,59290,12575,0.21209310170349133,MANDAQUI,51
simulacao_6_3,4305,0,0.0,MARSILAC,52
simulacao_6_3,51312,41403,0.8068872778297475,MOEMA,32
simulacao_6_3,44302,28009,0.6322287932824703,MOOCA,53
simulacao_6_3,28086,11589,0.41262550737022,MORUMBI,54
simulacao_6_3,9644,7297,0.7566362505184571,PARI,56
simulacao_6_3,36349,2700,0.07427989765880767,PARQUE DO CARMO,57
simulacao_6_3,81845,0,0.0,PEDREIRA,58
simulacao_6_3,69829,34051,0.48763407753225735,PENHA,59
simulacao_6_3,65590,52226,0.796249428266504,PERDIZES,60
simulacao_6_3,43873,1927,0.04392223007316573,PERUS,61
simulacao_6_3,37813,33107,0.8755454473329278,PINHEIROS,62
simulacao_6_3,90113,12206,0.1354521545171063,PIRITUBA,63
simulacao_6_3,47539,16419,0.34537958307915606,PONTE RASA,64
simulacao_6_3,53910,8994,0.16683361157484697,RAPOSO TAVARES,65
simulacao_6_3,62838,25406,0.40430949425506857,RIO PEQUENO,67
simulacao_6_3,139186,59531,0.42770824651904643,SACOMA,68
simulacao_6_3,63235,32482,0.513671226377797,SANTANA,70
simulacao_6_3,41726,26499,0.6350716579590663,SANTO AMARO,71
simulacao_6_3,45694,15201,0.3326694970893334,SAO DOMINGOS,95
simulacao_6_3,77181,36756,0.4762311967971392,SAO LUCAS,72
simulacao_6_3,79848,35637,0.44631048993086864,SAO MATEUS,73
simulacao_6_3,44578,16519,0.3705639553142806,SAO MIGUEL,74
simulacao_6_3,79860,4628,0.057951414976208364,SAO RAFAEL,75
simulacao_6_3,148270,47836,0.32262763876711403,SAPOPEMBA,76
simulacao_6_3,76068,57670,0.7581374559604565,SAUDE,77
simulacao_6_3,13710,13343,0.9732312180889862,SE,78
simulacao_6_3,19725,4613,0.23386565272496831,SOCORRO,79
simulacao_6_3,53982,39371,0.7293357044940906,TATUAPE,80
simulacao_6_3,113680,4064,0.035749472202674173,TREMEMBE,81
simulacao_6_3,53550,29058,0.5426330532212885,TUCURUVI,82
simulacao_6_3,84049,32386,0.3853228473866435,VILA ANDRADE,83
simulacao_6_3,77678,10568,0.13604881691083703,VILA CURUCA,84
simulacao_6_3,51485,22044,0.42816354277945035,VILA FORMOSA,85
simulacao_6_3,30212,15241,0.5044684231431219,VILA GUILHERME,86
simulacao_6_3,75056,13787,0.18368951183116605,VILA JACUI,87
simulacao_6_3,24775,13903,0.5611705348133199,VILA LEOPOLDINA,88
