simulacao,pop_total,pop_buffer,perc_atendimento,nome_distrito,cod_distrito
simulacao_6_6,70923,2797,0.0394371360489545,JOSE BONIFACIO,47
simulacao_6_6,148795,24355,0.1636815753217514,JD SAO LUIS,46
simulacao_6_6,53289,9449,0.1773161440447372,ARTUR ALVIM,5
simulacao_6_6,12937,3917,0.3027749864729072,JAGUARA,40
simulacao_6_6,57243,27169,0.47462571842845414,VILA PRUDENTE,93
simulacao_6_6,28845,7404,0.2566822672906916,JAGUARE,41
simulacao_6_6,106715,9251,0.08668884411750925,JARAGUA,42
simulacao_6_6,65985,9333,0.14144123664469196,JD HELENA,44
simulacao_6_6,52431,50018,0.9539776086666285,JD PAULISTA,45
simulacao_6_6,85466,7636,0.0893454707135001,LAJEADO,96
simulacao_6_6,37636,19634,0.521681368902115,LAPA,48
simulacao_6_6,40595,32794,0.8078334770291908,LIBERDADE,49
simulacao_6_6,41208,15387,0.3733983692486896,LIMAO,50
simulacao_6_6,64396,32883,0.5106373066650103,VILA MEDEIROS,92
simulacao_6_6,164446,4090,0.024871386351750728,JD ANGELA,43
simulacao_6_6,74193,935,0.012602267060234793,PARELHEIROS,55
simulacao_6_6,63979,11873,0.18557651729473734,VILA SONIA,94
simulacao_6_6,45297,21802,0.4813122281828819,AGUA RASA,1
simulacao_6_6,23607,6198,0.26254924386834416,ALTO DE PINHEIROS,2
simulacao_6_6,43082,0,0.0,ANHANGUERA,3
simulacao_6_6,45832,15512,0.33845348228312094,ARICANDUVA,4
simulacao_6_6,8811,6007,0.6817614345704234,BARRA FUNDA,6
simulacao_6_6,41378,41061,0.9923389240659287,BELA VISTA,7
simulacao_6_6,25126,9238,0.36766695852901377,BELEM,8
simulacao_6_6,19956,14178,0.7104630186410102,BOM RETIRO,9
simulacao_6_6,16810,14335,0.8527662105889352,BRAS,10
simulacao_6_6,137272,10224,0.07447986479398566,BRASILANDIA,11
simulacao_6_6,30266,9440,0.3119011431969867,BUTANTA,12
simulacao_6_6,73074,15164,0.20751566904781454,CACHOEIRINHA,13
simulacao_6_6,21749,12963,0.5960274035587844,CAMBUCI,14
simulacao_6_6,35261,26140,0.7413289469952639,CAMPO BELO,15
simulacao_6_6,58047,20336,0.35033679604458456,CAMPO GRANDE,16
simulacao_6_6,116079,16469,0.141877514451365,CAMPO LIMPO,17
simulacao_6_6,71558,7520,0.10508957768523436,CANGAIBA,18
simulacao_6_6,148086,37915,0.2560336561187418,CAPAO REDONDO,19
simulacao_6_6,46910,21929,0.467469622681731,CARRAO,20
simulacao_6_6,45522,22406,0.4922015728658671,CASA VERDE,21
simulacao_6_6,144359,50590,0.35044576368636526,CID ADEMAR,22
simulacao_6_6,104426,12594,0.12060214889012315,CID DUTRA,23
simulacao_6_6,69814,4879,0.06988569627868337,CID LIDER,24
simulacao_6_6,115371,0,0.0,CID TIRADENTES,25
simulacao_6_6,34088,29842,0.8754400375498709,CONSOLACAO,26
simulacao_6_6,61633,18234,0.29584800350461604,CURSINO,27
simulacao_6_6,60670,15023,0.24761826273281687,ERMELINO MATARAZZO,28
simulacao_6_6,74568,28390,0.38072631691878556,FREGUESIA DO O,29
simulacao_6_6,191219,3363,0.017587164455414996,GRAJAU,30
simulacao_6_6,54067,6417,0.11868607468511291,GUAIANASES,31
simulacao_6_6,73335,6769,0.09230244767164382,IGUATEMI,33
simulacao_6_6,60885,29291,0.48108729572144204,IPIRANGA,34
simulacao_6_6,55031,54430,0.9890788828115062,ITAIM BIBI,35
simulacao_6_6,116852,25816,0.22092903844178963,ITAIM PAULISTA,36
simulacao_6_6,107486,41641,0.3874085927469624,ITAQUERA,37
simulacao_6_6,121161,44594,0.3680557275030744,JABAQUARA,38
simulacao_6_6,49983,7843,0.15691335053918332,JACANA,39
simulacao_6_6,59290,12670,0.21369539551357733,MANDAQUI,51
simulacao_6_6,4305,0,0.0,MARSILAC,52
simulacao_6_6,51312,41300,0.8048799501091363,MOEMA,32
simulacao_6_6,44302,28076,0.6337411403548373,MOOCA,53
simulacao_6_6,28086,11492,0.40917182938118635,MORUMBI,54
simulacao_6_6,9644,7306,0.7575694732476151,PARI,56
simulacao_6_6,36349,2776,0.07637073922253707,PARQUE DO CARMO,57
simulacao_6_6,81845,0,0.0,PEDREIRA,58
simulacao_6_6,69829,34108,0.48845035730140773,PENHA,59
simulacao_6_6,65590,52401,0.7989175179143162,PERDIZES,60
simulacao_6_6,43873,2121,0.048344084060811886,PERUS,61
simulacao_6_6,37813,33216,0.8784280538439161,PINHEIROS,62
simulacao_6_6,90113,12488,0.13858155870962013,PIRITUBA,63
simulacao_6_6,47539,16322,0.34333915311638863,PONTE RASA,64
simulacao_6_6,53910,9027,0.1674457429048414,RAPOSO TAVARES,65
simulacao_6_6,62838,25314,0.40284541201184,RIO PEQUENO,67
simulacao_6_6,139186,60061,0.43151610075726005,SACOMA,68
simulacao_6_6,63235,32678,0.5167707756780264,SANTANA,70
simulacao_6_6,41726,26466,0.6342807841633514,SANTO AMARO,71
simulacao_6_6,45694,15172,0.33203484046045434,SAO DOMINGOS,95
simulacao_6_6,77181,36821,0.4770733729803967,SAO LUCAS,72
simulacao_6_6,79848,35846,0.44892796312994687,SAO MATEUS,73
simulacao_6_6,44578,16358,0.3669523083135179,SAO MIGUEL,74
simulacao_6_6,79860,4777,0.059817180065113947,SAO RAFAEL,75
simulacao_6_6,148270,47931,0.32326836177244217,SAPOPEMBA,76
simulacao_6_6,76068,57774,0.7595046537308724,SAUDE,77
simulacao_6_6,13710,13341,0.9730853391684902,SE,78
simulacao_6_6,19725,4431,0.22463878326996198,SOCORRO,79
simulacao_6_6,53982,39509,0.7318921121855433,TATUAPE,80
simulacao_6_6,113680,4286,0.037702322308233636,TREMEMBE,81
simulacao_6_6,53550,29183,0.5449673202614379,TUCURUVI,82
simulacao_6_6,84049,32449,0.38607241014170307,VILA ANDRADE,83
simulacao_6_6,77678,10561,0.13595870130538892,VILA CURUCA,84
simulacao_6_6,51485,22296,0.43305817228318927,VILA FORMOSA,85
simulacao_6_6,30212,15354,0.5082086588110685,VILA GUILHERME,86
simulacao_6_6,75056,13869,0.18478202941803454,VILA JACUI,87
simulacao_6_6,24775,13797,0.5568920282542886,VILA LEOPOLDINA,88
simulacao_6_6,58141,22726,0.39087734989078277,VILA MARIA,89
simulacao_6_6,76056,59161,0.7778610497528137,VILA MARIANA,90
simulacao_6_6,56905,18037,0.31696687461558737,VILA MATILDE,91
simulacao_6_6,49577,47757,0.9632894285656656,SANTA CECILIA,69
simulacao_6_6,34609,34609,1.0,REPUBLICA,66
