simulacao,pop_total,pop_buffer,perc_atendimento,nome_distrito,cod_distrito
simulacao_6_5,70923,2892,0.04077661689437841,JOSE BONIFACIO,47
simulacao_6_5,148795,24611,0.16540206324137235,JD SAO LUIS,46
simulacao_6_5,53289,9708,0.18217643416089624,ARTUR ALVIM,5
simulacao_6_5,12937,3832,0.2962046842390044,JAGUARA,40
simulacao_6_5,57243,27264,0.47628530999423513,VILA PRUDENTE,93
simulacao_6_5,28845,7645,0.265037268157393,JAGUARE,41
simulacao_6_5,106715,9230,0.08649205828608912,JARAGUA,42
simulacao_6_5,65985,9462,0.14339622641509434,JD HELENA,44
simulacao_6_5,52431,49977,0.9531956285403673,JD PAULISTA,45
simulacao_6_5,85466,7677,0.0898251936442562,LAJEADO,96
simulacao_6_5,37636,19755,0.5248963758103943,LAPA,48
simulacao_6_5,40595,32666,0.8046803793570637,LIBERDADE,49
simulacao_6_5,41208,15370,0.37298582799456415,LIMAO,50
simulacao_6_5,64396,32863,0.5103267283682217,VILA MEDEIROS,92
simulacao_6_5,164446,4115,0.02502341194069786,JD ANGELA,43
simulacao_6_5,74193,963,0.012979661154017226,PARELHEIROS,55
simulacao_6_5,63979,12088,0.18893699495146846,VILA SONIA,94
simulacao_6_5,45297,21884,0.48312250259399075,AGUA RASA,1
simulacao_6_5,23607,6142,0.2601770661244546,ALTO DE PINHEIROS,2
simulacao_6_5,43082,0,0.0,ANHANGUERA,3
simulacao_6_5,45832,15477,0.3376898237039623,ARICANDUVA,4
simulacao_6_5,8811,6037,0.6851662694359324,BARRA FUNDA,6
simulacao_6_5,41378,41068,0.9925080960897095,BELA VISTA,7
simulacao_6_5,25126,9280,0.3693385337896999,BELEM,8
simulacao_6_5,19956,14094,0.70625375826819,BOM RETIRO,9
simulacao_6_5,16810,14399,0.8565734681737062,BRAS,10
simulacao_6_5,137272,10280,0.07488781397517338,BRASILANDIA,11
simulacao_6_5,30266,9481,0.31325579858587194,BUTANTA,12
simulacao_6_5,73074,15070,0.2062293018036511,CACHOEIRINHA,13
simulacao_6_5,21749,12938,0.5948779254218585,CAMBUCI,14
simulacao_6_5,35261,26190,0.7427469442159893,CAMPO BELO,15
simulacao_6_5,58047,20347,0.35052629765534826,CAMPO GRANDE,16
simulacao_6_5,116079,16520,0.14231687040722266,CAMPO LIMPO,17
simulacao_6_5,71558,7397,0.10337069230554236,CANGAIBA,18
simulacao_6_5,148086,38090,0.2572154018610807,CAPAO REDONDO,19
simulacao_6_5,46910,22060,0.4702622042208484,CARRAO,20
simulacao_6_5,45522,22211,0.4879179297921884,CASA VERDE,21
