simulacao,pop_total,pop_buffer,perc_atendimento,nome_distrito,cod_distrito
simulacao_6_1,70923,2725,0.03842195056610691,JOSE BONIFACIO,47
simulacao_6_1,148795,24513,0.16474343895964247,JD SAO LUIS,46
simulacao_6_1,53289,9598,0.18011221828144644,ARTUR ALVIM,5
simulacao_6_1,12937,3917,0.3027749864729072,JAGUARA,40
simulacao_6_1,57243,27224,0.4755865345981168,VILA PRUDENTE,93
simulacao_6_1,28845,7560,0.2620904836193448,JAGUARE,41
simulacao_6_1,106715,9257,0.08674506864077215,JARAGUA,42
simulacao_6_1,65985,9444,0.14312343714480563,JD HELENA,44
simulacao_6_1,52431,50030,0.954206480898705,JD PAULISTA,45
simulacao_6_1,85466,7611,0.08905295673133176,LAJEADO,96
simulacao_6_1,37636,19924,0.5293867573599745,LAPA,48
simulacao_6_1,40595,32750,0.8067495997043971,LIBERDADE,49
simulacao_6_1,41208,15457,0.37509706853038244,LIMAO,50
simulacao_6_1,64396,32801,0.509363935648177,VILA MEDEIROS,92
simulacao_6_1,164446,3978,0.024190311713267576,JD ANGELA,43
simulacao_6_1,74193,993,0.013384011968784117,PARELHEIROS,55
simulacao_6_1,63979,11794,0.1843417371324966,VILA SONIA,94
simulacao_6_1,45297,21793,0.48111353952800406,AGUA RASA,1
simulacao_6_1,23607,6189,0.2621680010166476,ALTO DE PINHEIROS,2
simulacao_6_1,43082,0,0.0,ANHANGUERA,3
simulacao_6_1,45832,15439,0.33686070867516144,ARICANDUVA,4
simulacao_6_1,8811,6069,0.6887980932924753,BARRA FUNDA,6
simulacao_6_1,41378,41070,0.9925564309536469,BELA VISTA,7
simulacao_6_1,25126,9301,0.370174321420043,BELEM,8
simulacao_6_1,19956,14113,0.7072058528763279,BOM RETIRO,9
simulacao_6_1,16810,14450,0.8596073765615705,BRAS,10
simulacao_6_1,137272,10077,0.07340899819336791,BRASILANDIA,11
simulacao_6_1,30266,9363,0.3093570342959096,BUTANTA,12
simulacao_6_1,73074,15099,0.20662615978323343,CACHOEIRINHA,13
simulacao_6_1,21749,12931,0.5945560715435192,CAMBUCI,14
simulacao_6_1,35261,26049,0.7387481920535436,CAMPO BELO,15
simulacao_6_1,58047,20062,0.3456164831946526,CAMPO GRANDE,16
simulacao_6_1,116079,16484,0.14200673679132314,CAMPO LIMPO,17
simulacao_6_1,71558,7451,0.1041253249112608,CANGAIBA,18
simulacao_6_1,148086,38012,0.2566886809016382,CAPAO REDONDO,19
simulacao_6_1,46910,22056,0.4701769345555319,CARRAO,20
simulacao_6_1,45522,22100,0.48547954835024826,CASA VERDE,21
simulacao_6_1,144359,50685,0.35110384527462785,CID ADEMAR,22
simulacao_6_1,104426,12446,0.11918487732940072,CID DUTRA,23
simulacao_6_1,69814,4786,0.06855358524078266,CID LIDER,24
simulacao_6_1,115371,0,0.0,CID TIRADENTES,25
simulacao_6_1,34088,29759,0.8730051631072518,CONSOLACAO,26
simulacao_6_1,61633,18182,0.2950042996446709,CURSINO,27
simulacao_6_1,60670,15023,0.24761826273281687,ERMELINO MATARAZZO,28
simulacao_6_1,74568,28165,0.37770893680935524,FREGUESIA DO O,29
simulacao_6_1,191219,3183,0.016645835403385646,GRAJAU,30
simulacao_6_1,54067,6602,0.12210775519263137,GUAIANASES,31
simulacao_6_1,73335,6699,0.09134792391082021,IGUATEMI,33
simulacao_6_1,60885,29371,0.48240124825490677,IPIRANGA,34
simulacao_6_1,55031,54415,0.9888063091711944,ITAIM BIBI,35
simulacao_6_1,116852,25889,0.2215537603121898,ITAIM PAULISTA,36
simulacao_6_1,107486,41697,0.3879295908304337,ITAQUERA,37
simulacao_6_1,121161,44631,0.3683611062965806,JABAQUARA,38
simulacao_6_1,49983,7789,0.15583298321429287,JACANA,39
simulacao_6_1,59290,12679,0.2138471917692697,MANDAQUI,51
simulacao_6_1,4305,0,0.0,MARSILAC,52
simulacao_6_1,51312,41463,0.8080565949485501,MOEMA,32
simulacao_6_1,44302,28104,0.6343731659970204,MOOCA,53
simulacao_6_1,28086,11543,0.4109876806950082,MORUMBI,54
simulacao_6_1,9644,7367,0.7638946495230194,PARI,56
simulacao_6_1,36349,2716,0.07472007483011912,PARQUE DO CARMO,57
simulacao_6_1,81845,0,0.0,PEDREIRA,58
simulacao_6_1,69829,33998,0.4868750805539246,PENHA,59
simulacao_6_1,65590,52429,0.7993444122579662,PERDIZES,60
simulacao_6_1,43873,1949,0.04442367743258952,PERUS,61
simulacao_6_1,37813,33283,0.8801999312405786,PINHEIROS,62
simulacao_6_1,90113,12524,0.1389810571171751,PIRITUBA,63
simulacao_6_1,47539,16287,0.3426029155009571,PONTE RASA,64
simulacao_6_1,53910,8940,0.16583194212576516,RAPOSO TAVARES,65
simulacao_6_1,62838,25497,0.4057576625608708,RIO PEQUENO,67
simulacao_6_1,139186,59902,0.43037374448579596,SACOMA,68
simulacao_6_1,63235,32490,0.513797738594133,SANTANA,70
