simulacao,pop_total,pop_buffer,perc_atendimento,nome_distrito,cod_distrito
simulacao_6_4,70923,2779,0.0391833396782426,JOSE BONIFACIO,47
simulacao_6_4,148795,24527,0.16483752814274674,JD SAO LUIS,46
simulacao_6_4,53289,9638,0.18086284223761,ARTUR ALVIM,5
simulacao_6_4,12937,4022,0.3108912421736106,JAGUARA,40
simulacao_6_4,57243,27362,0.4779973097147249,VILA PRUDENTE,93
simulacao_6_4,28845,7463,0.25872768244063094,JAGUARE,41
simulacao_6_4,106715,9197,0.08618282340814319,JARAGUA,42
simulacao_6_4,65985,9416,0.1426990982799121,JD HELENA,44
simulacao_6_4,52431,50000,0.9536343003185138,JD PAULISTA,45
simulacao_6_4,85466,7613,0.08907635784990522,LAJEADO,96
simulacao_6_4,37636,19963,0.5304229992560314,LAPA,48
simulacao_6_4,40595,32753,0.8068235004310875,LIBERDADE,49
simulacao_6_4,41208,15341,0.3722820811492914,LIMAO,50
simulacao_6_4,64396,32830,0.5098142741785204,VILA MEDEIROS,92
simulacao_6_4,164446,3990,0.0242632839959622,JD ANGELA,43
simulacao_6_4,74193,977,0.01316835820090844,PARELHEIROS,55
simulacao_6_4,63979,11831,0.18492005189202707,VILA SONIA,94
simulacao_6_4,45297,21711,0.47930326511689514,AGUA RASA,1
simulacao_6_4,23607,6234,0.26407421527513025,ALTO DE PINHEIROS,2
simulacao_6_4,43082,0,0.0,ANHANGUERA,3
simulacao_6_4,45832,15449,0.33707889684063536,ARICANDUVA,4
simulacao_6_4,8811,6070,0.6889115877879923,BARRA FUNDA,6
simulacao_6_4,41378,41070,0.9925564309536469,BELA VISTA,7
simulacao_6_4,25126,9362,0.37260208548913476,BELEM,8
simulacao_6_4,19956,14111,0.7071056323912608,BOM RETIRO,9
simulacao_6_4,16810,14397,0.8564544913741821,BRAS,10
simulacao_6_4,137272,10114,0.07367853604522408,BRASILANDIA,11
simulacao_6_4,30266,9521,0.3145774135994185,BUTANTA,12
simulacao_6_4,73074,15152,0.20735145195281496,CACHOEIRINHA,13
simulacao_6_4,21749,12947,0.5952917375511517,CAMBUCI,14
simulacao_6_4,35261,26258,0.744675420436176,CAMPO BELO,15
simulacao_6_4,58047,20315,0.3499750202422175,CAMPO GRANDE,16
simulacao_6_4,116079,16629,0.1432558860775851,CAMPO LIMPO,17
simulacao_6_4,71558,7494,0.10472623606025881,CANGAIBA,18
simulacao_6_4,148086,37740,0.2548519103764029,CAPAO REDONDO,19
simulacao_6_4,46910,21896,0.4667661479428693,CARRAO,20
simulacao_6_4,45522,22215,0.48800579939369976,CASA VERDE,21
simulacao_6_4,144359,50443,0.34942746901821153,CID ADEMAR,22
simulacao_6_4,104426,12449,0.11921360580698294,CID DUTRA,23
simulacao_6_4,69814,4869,0.06974245853267252,CID LIDER,24
simulacao_6_4,115371,0,0.0,CID TIRADENTES,25
simulacao_6_4,34088,29850,0.8756747242431354,CONSOLACAO,26
simulacao_6_4,61633,18251,0.2961238297665212,CURSINO,27
simulacao_6_4,60670,14994,0.2471402670182957,ERMELINO MATARAZZO,28
simulacao_6_4,74568,28131,0.37725297714837464,FREGUESIA DO O,29
simulacao_6_4,191219,3194,0.01670336106767633,GRAJAU,30
simulacao_6_4,54067,6445,0.1192039506538184,GUAIANASES,31
simulacao_6_4,73335,6649,0.09066612122451763,IGUATEMI,33
simulacao_6_4,60885,29496,0.48445429908844545,IPIRANGA,34
simulacao_6_4,55031,54409,0.9886972797150697,ITAIM BIBI,35
simulacao_6_4,116852,26030,0.22276041488378462,ITAIM PAULISTA,36
simulacao_6_4,107486,41779,0.38869248088123104,ITAQUERA,37
simulacao_6_4,121161,44569,0.36784939048043513,JABAQUARA,38
simulacao_6_4,49983,7619,0.1524318268211192,JACANA,39
simulacao_6_4,59290,12547,0.21162084668578174,MANDAQUI,51
simulacao_6_4,4305,0,0.0,MARSILAC,52
simulacao_6_4,51312,41400,0.8068288119738073,MOEMA,32
simulacao_6_4,44302,28016,0.6323867996930161,MOOCA,53
simulacao_6_4,28086,11641,0.4144769636117639,MORUMBI,54
simulacao_6_4,9644,7325,0.759539610120282,PARI,56
simulacao_6_4,36349,2703,0.07436243087842857,PARQUE DO CARMO,57
simulacao_6_4,81845,0,0.0,PEDREIRA,58
simulacao_6_4,69829,34309,0.4913288175399905,PENHA,59
simulacao_6_4,65590,52446,0.7996035981094679,PERDIZES,60
simulacao_6_4,43873,1993,0.045426572151437104,PERUS,61
simulacao_6_4,37813,33148,0.8766297305159602,PINHEIROS,62
simulacao_6_4,90113,12259,0.1360403049504511,PIRITUBA,63
simulacao_6_4,47539,16307,0.34302362270977516,PONTE RASA,64
simulacao_6_4,53910,9124,0.1692450380263402,RAPOSO TAVARES,65
simulacao_6_4,62838,25269,0.40212928482765203,RIO PEQUENO,67
simulacao_6_4,139186,59743,0.4292313882143319,SACOMA,68
simulacao_6_4,63235,32656,0.5164228670831027,SANTANA,70
simulacao_6_4,41726,26642,0.6384987777404976,SANTO AMARO,71
simulacao_6_4,45694,15056,0.32949621394493805,SAO DOMINGOS,95
simulacao_6_4,77181,36733,0.47593319599383266,SAO LUCAS,72
simulacao_6_4,79848,35622,0.44612263300270516,SAO MATEUS,73
simulacao_6_4,44578,16262,0.36479877966710034,SAO MIGUEL,74
simulacao_6_4,79860,4831,0.06049336338592537,SAO RAFAEL,75
simulacao_6_4,148270,47752,0.32206110474135025,SAPOPEMBA,76
simulacao_6_4,76068,57931,0.7615685965189042,SAUDE,77
simulacao_6_4,13710,13318,0.9714077315827863,SE,78
simulacao_6_4,19725,4549,0.2306210392902408,SOCORRO,79
simulacao_6_4,53982,39550,0.7326516246156126,TATUAPE,80
simulacao_6_4,113680,4128,0.03631245601688952,TREMEMBE,81
simulacao_6_4,53550,29242,0.5460690943043884,TUCURUVI,82
simulacao_6_4,84049,32569,0.38750014872276883,VILA ANDRADE,83
simulacao_6_4,77678,10735,0.13819871778367104,VILA CURUCA,84
simulacao_6_4,51485,22343,0.4339710595319025,VILA FORMOSA,85
simulacao_6_4,30212,15408,0.5099960280683172,VILA GUILHERME,86
simulacao_6_4,75056,13847,0.18448891494350886,VILA JACUI,87
simulacao_6_4,24775,13723,0.5539051463168516,VILA LEOPOLDINA,88
simulacao_6_4,58141,22843,0.39288969917958066,VILA MARIA,89
simulacao_6_4,76056,58931,0.7748369622383506,VILA MARIANA,90
simulacao_6_4,56905,17906,0.3146647921975222,VILA MATILDE,91
simulacao_6_4,49577,47815,0.9644593258970894,SANTA CECILIA,69
simulacao_6_4,34609,34609,1.0,REPUBLICA,66
