address;lon;lat
Avenida Paulista 1274, Bela Vista, São Paulo, 01310-100;-46.65378002759712;-23.56338998003089
Rua da Quitanda, Sé, São Paulo, 01012-010;-46.63508364624286;-23.54769930367436
Rua Cubatão 86, Vila Mariana, São Paulo, 04013-000;-46.64518002730105;-23.572869996341353
04344-000, Jabaquara, São Paulo;-46.64437956947399;-23.63446681421728
Rua Líbero Badaró 318, Sé, São Paulo, 01008-000;-46.636371521771395;-23.546840680196823
Avenida Paulista 1230, Bela Vista, São Paulo, 01310-100;-46.65329002153749;-23.563820013573306
Avenida São Miguel 2328, Ponte Rasa, São Paulo, 03619-100;-46.508579983612805;-23.51104000746787
04344-000, Jabaquara, São Paulo;-46.64437956947399;-23.63446681421728
Avenida Brigadeiro Faria Lima 3729, Itaim Bibi, São Paulo, 04538-133;-46.681650023293514;-23.588909983443514
Avenida Paulista 1230, Bela Vista, São Paulo, 01310-100;-46.65329002153749;-23.563820013573306
Rua Cantagalo 74, Tatuapé, São Paulo, 03319-000;-46.57304000415516;-23.547139984344668
Rua Quinze de Novembro 111, Sé, São Paulo, 01013-001;-46.634150029455384;-23.547920004254166
Avenida Paulista 1230, Bela Vista, São Paulo, 01310-100;-46.65329002153749;-23.563820013573306
Avenida Francisco Matarazzo 1400, Barra Funda, São Paulo, 05001-100;-46.67578000886169;-23.525979995506802
Alameda dos Jurupis 1156, Moema, São Paulo, 04088-003;-46.66390266438761;-23.60856896293379
Alameda Vicente Pinzon 173, Itaim Bibi, São Paulo, 04547-130;-46.6866000400328;-23.597099982945764
Rua Quinze de Novembro 324, Sé, São Paulo, 01013-001;-46.63426000002505;-23.546010019977587
Avenida Brigadeiro Faria Lima 3729, Itaim Bibi, São Paulo, 04538-133;-46.681650023293514;-23.588909983443514
Rua Domingos de Morais 2806, Saúde, São Paulo, 04036-100;-46.63676442257328;-23.60093796482497
Rua Silva Bueno 1862, Ipiranga, São Paulo, 04208-001;-46.60110999206134;-23.594999980924186
Rua Cardoso de Almeida 39, Barra Funda, São Paulo, 05013-000;-46.663979965571315;-23.5322999924106
Avenida Professor Luciano Gualberto, Butantã, São Paulo, 05508-010;-46.72681427546441;-23.560789410216458
Avenida Conselheiro Carrão 3062, Carrão, São Paulo, 03402-003;-46.532579970794075;-23.550979985646435
Avenida Brigadeiro Faria Lima 3003, Itaim Bibi, São Paulo, 01452-000;-46.68353000035674;-23.582979996494473
Avenida Paulista 2300, Consolação, São Paulo, 01310-300;-46.66139004130912;-23.55678998565152
Avenida Paulista 1500, Bela Vista, São Paulo, 01310-100;-46.655469986915335;-23.562069997918826
Avenida São João 32, Sé, São Paulo, 01036-000;-46.635019987185956;-23.545180002015627
Avenida Paulista, Bela Vista, São Paulo, 01310-000;-46.64646557717128;-23.569545633409128
Avenida Santo Amaro 6353, Santo Amaro, São Paulo, 04701-100;-46.695779984209594;-23.636710007505826
Rua Voluntários da Pátria 1819, Santana, São Paulo, 02011-300;-46.626419986889886;-23.504260011717804
Avenida Sumaré 1231, Perdizes, São Paulo, 05016-110;-46.675239962840095;-23.540109998332383
Alameda dos Jurupis 1186, Moema, São Paulo, 04088-003;-46.66390266438761;-23.60856896293379
Rua Ferreira de Araújo 186, Pinheiros, São Paulo, 05428-000;-46.69797947007241;-23.559350106462478
Praça Charles Miller, Consolação, São Paulo, 01234-010;-46.665332781876714;-23.545376571757494
Rua Eleonora Cintra 112, Vila Formosa, São Paulo, 03337-000;-46.56309998899843;-23.553840016738434
Avenida Rio Branco 1437, Santa Cecília, São Paulo, 01205-001;-46.6459100072486;-23.532050002148395
Avenida Paulista 2163, Jardim Paulista, São Paulo, 01311-300;-46.6605999631158;-23.558160007725547
Praça da Sé, Sé, São Paulo, 01001-001;-46.633848301799034;-23.549627337702802
Avenida Prestes Maia 894, Sé, São Paulo, 01031-000;-46.633379984010645;-23.536870015569434
Avenida Ibirapuera 3103, Moema, São Paulo, 04029-200;-46.66774000351677;-23.609790016715323
Avenida Interlagos, Campo Grande, São Paulo, 04660-030;-46.67960492273775;-23.659364950684534
Avenida Guilherme Cotching 1819, Vila Maria, São Paulo, 02113-017;-46.586449959588435;-23.514029999968614
Avenida Paulista 2163, Jardim Paulista, São Paulo, 01311-300;-46.6605999631158;-23.558160007725547
Rua Quinze de Novembro 111, Sé, São Paulo, 01013-001;-46.634150029455384;-23.547920004254166
Avenida Engenheiro Luís Carlos Berrini, Itaim Bibi, São Paulo, 04571-010;-46.69183994489342;-23.60271495701872
Rua Nossa Senhora da Lapa 281, Lapa, São Paulo, 05072-000;-46.70361999734473;-23.5220899961526
Rua Padre Raposo 29, Móoca, São Paulo, 03118-000;-46.60005999105053;-23.55742998586848
Avenida Nazaré 1616, Ipiranga, São Paulo, 04262-200;-46.609879977353785;-23.59835999254061
Avenida Jabaquara 1337, Saúde, São Paulo, 04045-010;-46.63850996021111;-23.616010017514228
Avenida Nova Cantareira 1060, Santana, São Paulo, 02330-001;-46.61590473673922;-23.485275927448402
Avenida Paulista 2300, Consolação, São Paulo, 01310-300;-46.66139004130912;-23.55678998565152
Avenida Professor Luciano Gualberto 600, Butantã, São Paulo, 05508-010;-46.72719361949218;-23.560232452278683
Rua Nossa Senhora das Mercês 1039, Sacomã, São Paulo, 04165-001;-46.60641003707721;-23.626659979869913
Rua Bom Pastor 153, Ipiranga, São Paulo, 04203-050;-46.60861003520367;-23.577499992017408
Rua Doutor João Ribeiro 194, Penha, São Paulo, 03634-000;-46.54810996099752;-23.52496000170939
Rua Botucatu 720, Vila Mariana, São Paulo, 04023-062;-46.64276000421623;-23.59796998258585
Rua Pamplona 518, Jardim Paulista, São Paulo, 01405-001;-46.65393106773572;-23.563861776307295
Avenida Cupecê, Cidade Ademar, São Paulo, 04366-000;-46.6698478740811;-23.654403814328532
Avenida Paulista 2300, Consolação, São Paulo, 01310-300;-46.66139004130912;-23.55678998565152
Avenida Angélica 1937, Consolação, São Paulo, 01227-200;-46.65940000985722;-23.54943000411123
Rua Álvares Penteado 70, Sé, São Paulo, 01012-000;-46.634469966699584;-23.54800000951998
Avenida Brasil 418, Jardim Paulista, São Paulo, 01430-000;-46.66452998605769;-23.576059981051856
Rua Estados Unidos 1931, Jardim Paulista, São Paulo, 01427-002;-46.67185996038461;-23.564499995468424
Rua Marechal Deodoro 440, Santo Amaro, São Paulo, 04738-000;-46.69717003903219;-23.64035001659782
Avenida Conselheiro Carrão 2411, Carrão, São Paulo, 03403-002;-46.538310007442874;-23.548139987303003
Avenida Lins de Vasconcelos 196, Cambuci, São Paulo, 01537-000;-46.62129001068942;-23.565020008741428
Avenida Penha de França 549, Penha, São Paulo, 03606-010;-46.547049985521966;-23.521970009208644
Praça Sílvio Romero, Tatuapé, São Paulo, 03323-000;-46.57366861294436;-23.545096995458852
Rua dos Pinheiros 1492, Pinheiros, São Paulo, 05422-002;-46.69203000454792;-23.567860007084846
Avenida Indianópolis 546, Moema, São Paulo, 04062-000;-46.65490999196419;-23.603470019811525
