CnpjBase,CnpjSequencial,CnpjDv,NomeIf,Segmento,CodigoCompe,NomeAgencia,Endereco,Numero,Complemento,Bairro,Cep,MunicipioIbge,Municipio,UF,DataInicio,DDD,Telefone,Posicao
00000000,2498,82,BANCO DO BRASIL S.A.,Banco Múltiplo,03204,EMPRESA MANAIRA,"RUA MANOEL ARRUDA CAVALCANTI, 805",,SALAS S0120 E S0121,MANAIRA,58038-680,2507507,JOAO PESSOA,PB,15/03/1991,83,40033001,28/12/2021
60746948,7442,27,BANCO BRADESCO S.A.,Banco Múltiplo,05778,"ITAPORANGA, PB",RUA HORÁCIO GOMES,,,CENTRO,58780-000,2507002,ITAPORANGA,PB,11/11/2011,83,34512989,28/12/2021
30306294,0016,21,BANCO BTG PACTUAL S.A.,Banco Múltiplo,00030,BAAS,AVENIDA BRIGADEIRO FARIA LIMA,3064,12º ANDAR,ITAIM BIBI,01425-010,3550308,SAO PAULO,SP,07/08/2020,11,3383,28/12/2021
90400888,1064,80,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,02091,001 2091 AV ALVARES CABRAL-BH-MG,R SANTOS BARRETO,,LJ 603,SANTO AGOSTINHO,30170-070,3106200,BELO HORIZONTE,MG,31/08/2006,31,32909500,28/12/2021
00000000,7680,57,BANCO DO BRASIL S.A.,Banco Múltiplo,09137,ESCR.EXC.CAJUINA,"AV HIGINO CUNHA, S/N",,SALA EXCLUSIVO 2,C REI,64014-535,2211001,TERESINA,PI,13/04/2018,86,32152163,28/12/2021
90400888,3156,40,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,02368,001 2368 IRATI-PR,R XV DE NOVEMBRO,,,CENTRO,84500-000,4110706,IRATI,PR,01/07/2020,42,34211650,28/12/2021
00000000,5097,01,BANCO DO BRASIL S.A.,Banco Múltiplo,03418,CORP BANK POA SUL,"AV CARLOS GOMES, 222",,14° ANDAR B. AUXILIADORA ED. OPUS ONE,AUXILIADORA,90480-000,4314902,PORTO ALEGRE,RS,06/08/2002,51,39040200,28/12/2021
00360305,3430,60,CAIXA ECONOMICA FEDERAL,Caixa Econômica Federal,03430,"PORTO VELHO SHOPPING, RO","AVENIDA RIO MADEIRA, NUM 3288",,LOJA 213/01 E 02,FLODOALDO PONTES PINTO,76820-408,1100205,PORTO VELHO,RO,03/03/2011,69,21811400,28/12/2021
04913711,0112,23,BANCO DO ESTADO DO PARÁ S.A.,Banco Múltiplo,00112,SAPUCAIA,"RUA DOS EUCALIPTOS, LOTE 07, QUADRA 24",,ESQUINA DA RUA DAS CASTANHEIRAS,CENTRO,68548-000,1507755,SAPUCAIA,PA,23/05/2016,94,33822101,28/12/2021
90400888,3145,97,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,02366,001 2366 MORADA SOL-INDAIATUBA-SP,AV ENG FABIO ROBERTO BARNABE,,,JD MORADA DO SOL,13348-455,3520509,INDAIATUBA,SP,06/03/2020,11,35530372,28/12/2021
