codigo_distrito;ano;faixa_etaria;homens;mulheres;total
80039;2021;15 a 19;3.199;3.177;6376
80039;2021;20 a 24;3.786;3.752;7538
80039;2021;25 a 29;3.718;3.714;7432
80039;2021;30 a 34;3.886;3.985;7871
80039;2021;35 a 39;3.970;4.222;8192
80039;2021;40 a 44;3.679;4.071;7750
80039;2021;45 a 49;3.149;3.486;6635
80039;2021;50 a 54;2.721;3.094;5815
80039;2021;55 a 59;2.388;2.962;5350
80039;2021;60 a 64;2.095;2.816;4911
80039;2021;65 a 69;1.617;2.332;3949
80039;2021;70 a 74;1.149;1.778;2927
80039;2021;75 e +;1.294;2.565;3859
80040;2021;00 a 04;660;630;1290
80040;2021;05 a 09;716;685;1401
80040;2021;10 a 14;621;595;1216
80040;2021;15 a 19;647;639;1286
80040;2021;20 a 24;726;776;1502
80040;2021;25 a 29;769;775;1544
80040;2021;30 a 34;929;901;1830
80040;2021;35 a 39;1.021;1.014;2035
80040;2021;40 a 44;967;993;1960
80040;2021;45 a 49;826;869;1695
80040;2021;50 a 54;720;823;1543
80040;2021;55 a 59;688;828;1516
80040;2021;60 a 64;636;829;1465
80040;2021;65 a 69;534;707;1241
80040;2021;70 a 74;403;585;988
80040;2021;75 e +;498;877;1375
80041;2021;00 a 04;1.725;1.648;3373
80041;2021;05 a 09;1.864;1.783;3647
80041;2021;10 a 14;1.733;1.619;3352
80041;2021;15 a 19;1.779;1.723;3502
80041;2021;20 a 24;1.937;1.992;3929
80041;2021;25 a 29;1.949;2.013;3962
80041;2021;30 a 34;2.239;2.155;4394
80041;2021;35 a 39;2.506;2.550;5056
80041;2021;40 a 44;2.409;2.557;4966
80041;2021;45 a 49;2.030;2.234;4264
80041;2021;50 a 54;1.698;1.864;3562
80041;2021;55 a 59;1.417;1.688;3105
80041;2021;60 a 64;1.121;1.420;2541
80041;2021;65 a 69;863;1.180;2043
80041;2021;70 a 74;612;979;1591
80041;2021;75 e +;796;1.474;2270
80042;2021;00 a 04;7.903;7.543;15446
80042;2021;05 a 09;8.044;7.686;15730
80042;2021;10 a 14;7.096;6.810;13906
80042;2021;15 a 19;7.868;7.634;15502
80042;2021;20 a 24;9.537;9.275;18812
80042;2021;25 a 29;9.039;9.011;18050
80042;2021;30 a 34;8.616;9.031;17647
80042;2021;35 a 39;8.407;9.260;17667
80042;2021;40 a 44;7.852;8.890;16742
80042;2021;45 a 49;7.017;7.959;14976
80042;2021;50 a 54;6.231;7.060;13291
80042;2021;55 a 59;5.203;6.246;11449
80042;2021;60 a 64;4.213;5.341;9554
80042;2021;65 a 69;2.996;3.965;6961
80042;2021;70 a 74;1.902;2.669;4571
80042;2021;75 e +;1.635;2.857;4492
80043;2021;00 a 04;13.348;12.740;26088
80043;2021;05 a 09;13.748;13.136;26884
80043;2021;10 a 14;12.592;12.332;24924
80043;2021;15 a 19;13.450;12.897;26347
80043;2021;20 a 24;15.428;15.151;30579
80043;2021;25 a 29;14.240;14.419;28659
80043;2021;30 a 34;13.783;14.286;28069
80043;2021;35 a 39;13.710;14.825;28535
80043;2021;40 a 44;12.610;14.358;26968
80043;2021;45 a 49;11.544;12.609;24153
80043;2021;50 a 54;9.847;11.080;20927
80043;2021;55 a 59;7.272;8.642;15914
80043;2021;60 a 64;5.639;6.989;12628
80043;2021;65 a 69;4.153;5.215;9368
80043;2021;70 a 74;2.664;3.487;6151
80043;2021;75 e +;2.179;3.508;5687
80044;2021;00 a 04;5.547;5.287;10834
80044;2021;05 a 09;5.636;5.376;11012
80044;2021;10 a 14;4.717;4.492;9209
80044;2021;15 a 19;4.896;4.743;9639
80044;2021;20 a 24;5.976;5.865;11841
80044;2021;25 a 29;5.840;5.880;11720
80044;2021;30 a 34;5.599;5.780;11379
80044;2021;35 a 39;5.327;5.639;10966
80044;2021;40 a 44;4.768;5.202;9970
80044;2021;45 a 49;4.231;4.652;8883
80044;2021;50 a 54;3.871;4.218;8089
80044;2021;55 a 59;3.113;3.621;6734
80044;2021;60 a 64;2.448;3.088;5536
80044;2021;65 a 69;1.821;2.362;4183
80044;2021;70 a 74;1.231;1.702;2933
80044;2021;75 e +;1.183;1.936;3119
80045;2021;00 a 04;1.971;1.881;3852
80045;2021;05 a 09;2.218;2.116;4334
80045;2021;10 a 14;1.832;1.709;3541
80045;2021;15 a 19;1.566;1.513;3079
80045;2021;20 a 24;1.663;1.615;3278
80045;2021;25 a 29;1.905;1.992;3897
80045;2021;30 a 34;2.908;3.301;6209
80045;2021;35 a 39;4.077;4.921;8998
80045;2021;40 a 44;4.307;4.986;9293
80045;2021;45 a 49;3.532;3.839;7371
80045;2021;50 a 54;2.949;3.243;6192
80045;2021;55 a 59;2.703;3.357;6060
80045;2021;60 a 64;2.498;3.500;5998
80045;2021;65 a 69;2.159;3.448;5607
80045;2021;70 a 74;1.914;2.819;4733
80045;2021;75 e +;2.790;5.341;8131
80046;2021;00 a 04;10.525;10.045;20570
80046;2021;05 a 09;10.958;10.463;21421
80046;2021;10 a 14;9.537;9.196;18733
80046;2021;15 a 19;10.179;9.798;19977
80046;2021;20 a 24;12.094;11.758;23852
80046;2021;25 a 29;11.680;11.891;23571
80046;2021;30 a 34;12.439;12.754;25193
80046;2021;35 a 39;12.560;13.565;26125
80046;2021;40 a 44;11.660;12.726;24386
80046;2021;45 a 49;10.140;11.254;21394
80046;2021;50 a 54;8.637;9.934;18571
80046;2021;55 a 59;6.822;8.543;15365
80046;2021;60 a 64;5.628;7.156;12784
80046;2021;65 a 69;4.191;5.683;9874
80046;2021;70 a 74;2.759;4.079;6838
80046;2021;75 e +;2.596;4.472;7068
80047;2021;00 a 04;4.171;3.986;8157
80047;2021;05 a 09;4.322;4.134;8456
80047;2021;10 a 14;4.453;4.266;8719
80047;2021;15 a 19;4.831;4.750;9581
80047;2021;20 a 24;5.646;5.562;11208
80047;2021;25 a 29;5.257;5.354;10611
80047;2021;30 a 34;5.169;5.477;10646
80047;2021;35 a 39;5.669;6.123;11792
80047;2021;40 a 44;5.656;6.358;12014
80047;2021;45 a 49;4.761;5.330;10091
80047;2021;50 a 54;3.909;4.584;8493
80047;2021;55 a 59;3.143;4.010;7153
80047;2021;60 a 64;2.647;3.780;6427
80047;2021;65 a 69;2.292;3.490;5782
80047;2021;70 a 74;1.669;2.584;4253
80047;2021;75 e +;1.362;2.657;4019
80048;2021;00 a 04;1.559;1.491;3050
80048;2021;05 a 09;1.764;1.687;3451
80048;2021;10 a 14;1.642;1.514;3156
80048;2021;15 a 19;1.567;1.472;3039
80048;2021;20 a 24;1.660;1.640;3300
80048;2021;25 a 29;1.857;1.763;3620
80048;2021;30 a 34;2.277;2.225;4502
80048;2021;35 a 39;2.699;2.784;5483
80048;2021;40 a 44;2.738;3.064;5802
80048;2021;45 a 49;2.412;2.774;5186
80048;2021;50 a 54;2.170;2.602;4772
80048;2021;55 a 59;2.168;2.636;4804
80048;2021;60 a 64;2.000;2.536;4536
80048;2021;65 a 69;1.598;2.270;3868
80048;2021;70 a 74;1.174;1.876;3050
80048;2021;75 e +;1.776;3.688;5464
80049;2021;00 a 04;1.871;1.788;3659
80049;2021;05 a 09;2.135;2.039;4174
80049;2021;10 a 14;1.703;1.657;3360
80049;2021;15 a 19;1.542;1.525;3067
80049;2021;20 a 24;1.724;1.639;3363
80049;2021;25 a 29;2.084;1.995;4079
80049;2021;30 a 34;2.871;2.957;5828
80049;2021;35 a 39;3.593;3.780;7373
80049;2021;40 a 44;3.375;3.674;7049
80049;2021;45 a 49;2.708;3.215;5923
80049;2021;50 a 54;2.322;2.654;4976
80049;2021;55 a 59;2.016;2.517;4533
80049;2021;60 a 64;1.846;2.480;4326
80049;2021;65 a 69;1.509;2.229;3738
80049;2021;70 a 74;1.181;1.841;3022
80049;2021;75 e +;1.461;2.992;4453
80050;2021;00 a 04;2.698;2.580;5278
80050;2021;05 a 09;2.895;2.769;5664
80050;2021;10 a 14;2.294;2.261;4555
80050;2021;15 a 19;2.260;2.363;4623
80050;2021;20 a 24;2.699;2.686;5385
80050;2021;25 a 29;2.753;2.875;5628
80050;2021;30 a 34;3.172;3.254;6426
80050;2021;35 a 39;3.204;3.494;6698
80050;2021;40 a 44;2.957;3.387;6344
80050;2021;45 a 49;2.533;3.000;5533
80050;2021;50 a 54;2.301;2.616;4917
80050;2021;55 a 59;2.062;2.496;4558
80050;2021;60 a 64;1.822;2.466;4288
80050;2021;65 a 69;1.435;2.151;3586
80050;2021;70 a 74;1.026;1.638;2664
80050;2021;75 e +;1.161;2.360;3521
80051;2021;00 a 04;3.006;2.870;5876
80051;2021;05 a 09;3.198;3.053;6251
80051;2021;10 a 14;2.831;2.744;5575
80051;2021;15 a 19;2.946;2.955;5901
80051;2021;20 a 24;3.636;3.651;7287
80051;2021;25 a 29;3.835;3.890;7725
80051;2021;30 a 34;4.238;4.271;8509
80051;2021;35 a 39;4.291;4.534;8825
80051;2021;40 a 44;4.072;4.580;8652
80051;2021;45 a 49;3.803;4.448;8251
80051;2021;50 a 54;3.637;4.203;7840
80051;2021;55 a 59;3.332;4.170;7502
80051;2021;60 a 64;2.871;3.745;6616
80051;2021;65 a 69;2.156;2.974;5130
80051;2021;70 a 74;1.512;2.393;3905
80051;2021;75 e +;1.895;3.541;5436
80052;2021;00 a 04;275;263;538
80052;2021;05 a 09;259;247;506
80052;2021;10 a 14;269;282;551
80052;2021;15 a 19;344;303;647
80052;2021;20 a 24;439;436;875
80052;2021;25 a 29;419;380;799
80052;2021;30 a 34;367;344;711
80052;2021;35 a 39;301;299;600
80052;2021;40 a 44;270;293;563
80052;2021;45 a 49;231;241;472
80052;2021;50 a 54;254;249;503
80052;2021;55 a 59;231;244;475
80052;2021;60 a 64;215;213;428
80052;2021;65 a 69;171;151;322
80052;2021;70 a 74;114;110;224
80052;2021;75 e +;108;141;249
80053;2021;00 a 04;2.108;2.016;4124
80053;2021;05 a 09;2.334;2.233;4567
80053;2021;10 a 14;2.004;1.965;3969
80053;2021;15 a 19;1.929;1.867;3796
80053;2021;20 a 24;2.173;2.124;4297
80053;2021;25 a 29;2.498;2.452;4950
80053;2021;30 a 34;2.974;2.989;5963
80053;2021;35 a 39;3.280;3.395;6675
80053;2021;40 a 44;3.243;3.475;6718
80053;2021;45 a 49;2.939;3.251;6190
80053;2021;50 a 54;2.758;3.018;5776
80053;2021;55 a 59;2.554;2.953;5507
80053;2021;60 a 64;2.275;2.807;5082
80053;2021;65 a 69;1.840;2.358;4198
80053;2021;70 a 74;1.245;1.891;3136
80053;2021;75 e +;1.783;3.745;5528
80054;2021;00 a 04;1.692;1.610;3302
80054;2021;05 a 09;1.843;1.754;3597
80054;2021;10 a 14;1.467;1.378;2845
80054;2021;15 a 19;1.470;1.481;2951
80054;2021;20 a 24;1.740;1.736;3476
80054;2021;25 a 29;1.712;1.732;3444
80054;2021;30 a 34;1.750;1.960;3710
80054;2021;35 a 39;1.912;2.152;4064
80054;2021;40 a 44;1.913;2.316;4229
80054;2021;45 a 49;1.771;2.215;3986
80054;2021;50 a 54;1.684;2.054;3738
80054;2021;55 a 59;1.558;1.895;3453
80054;2021;60 a 64;1.336;1.692;3028
80054;2021;65 a 69;1.084;1.427;2511
80054;2021;70 a 74;851;1.167;2018
80054;2021;75 e +;1.177;1.752;2929
80055;2021;00 a 04;6.522;6.219;12741
80055;2021;05 a 09;6.473;6.181;12654
80055;2021;10 a 14;5.539;5.318;10857
80055;2021;15 a 19;6.041;5.960;12001
80055;2021;20 a 24;7.352;7.312;14664
80055;2021;25 a 29;6.878;7.035;13913
80055;2021;30 a 34;6.186;6.287;12473
80055;2021;35 a 39;5.746;6.158;11904
80055;2021;40 a 44;5.395;5.896;11291
80055;2021;45 a 49;4.895;5.479;10374
80055;2021;50 a 54;4.419;4.917;9336
80055;2021;55 a 59;3.512;3.988;7500
80055;2021;60 a 64;2.815;3.242;6057
80055;2021;65 a 69;2.019;2.279;4298
80055;2021;70 a 74;1.250;1.583;2833
80055;2021;75 e +;1.053;1.519;2572
80056;2021;00 a 04;723;693;1416
80056;2021;05 a 09;785;754;1539
80056;2021;10 a 14;585;587;1172
80056;2021;15 a 19;559;575;1134
80056;2021;20 a 24;601;637;1238
80056;2021;25 a 29;670;647;1317
80056;2021;30 a 34;822;800;1622
80056;2021;35 a 39;825;839;1664
80056;2021;40 a 44;717;713;1430
80056;2021;45 a 49;583;683;1266
80056;2021;50 a 54;564;602;1166
80056;2021;55 a 59;471;576;1047
80056;2021;60 a 64;394;508;902
80056;2021;65 a 69;291;395;686
80056;2021;70 a 74;236;351;587
80056;2021;75 e +;323;687;1010
80057;2021;00 a 04;2.469;2.349;4818
80057;2021;05 a 09;2.592;2.467;5059
80057;2021;10 a 14;2.367;2.253;4620
80057;2021;15 a 19;2.571;2.446;5017
80057;2021;20 a 24;2.933;2.878;5811
80057;2021;25 a 29;2.883;2.830;5713
80057;2021;30 a 34;2.953;3.003;5956
80057;2021;35 a 39;3.023;3.115;6138
80057;2021;40 a 44;2.654;3.087;5741
80057;2021;45 a 49;2.453;2.637;5090
80057;2021;50 a 54;2.180;2.341;4521
80057;2021;55 a 59;1.711;2.067;3778
80057;2021;60 a 64;1.460;1.821;3281
80057;2021;65 a 69;1.160;1.432;2592
80057;2021;70 a 74;839;1.059;1898
80057;2021;75 e +;767;1.241;2008
80058;2021;00 a 04;5.592;5.336;10928
80058;2021;05 a 09;5.642;5.387;11029
80058;2021;10 a 14;5.443;5.267;10710
80058;2021;15 a 19;5.800;5.702;11502
80058;2021;20 a 24;7.129;6.838;13967
80058;2021;25 a 29;6.991;7.044;14035
80058;2021;30 a 34;6.964;7.162;14126
80058;2021;35 a 39;6.590;7.117;13707
80058;2021;40 a 44;6.065;6.830;12895
80058;2021;45 a 49;5.373;6.026;11399
80058;2021;50 a 54;4.810;5.449;10259
80058;2021;55 a 59;3.894;4.531;8425
80058;2021;60 a 64;3.172;3.868;7040
80058;2021;65 a 69;2.309;2.923;5232
80058;2021;70 a 74;1.549;2.017;3566
80058;2021;75 e +;1.336;2.286;3622
80059;2021;00 a 04;3.587;3.434;7021
80059;2021;05 a 09;3.857;3.695;7552
80059;2021;10 a 14;3.358;3.298;6656
80059;2021;15 a 19;3.512;3.416;6928
80059;2021;20 a 24;4.135;4.072;8207
80059;2021;25 a 29;4.407;4.428;8835
80059;2021;30 a 34;4.945;5.167;10112
80059;2021;35 a 39;5.271;5.503;10774
80059;2021;40 a 44;4.783;5.306;10089
80059;2021;45 a 49;4.256;4.800;9056
80059;2021;50 a 54;3.977;4.707;8684
80059;2021;55 a 59;3.759;4.702;8461
80059;2021;60 a 64;3.318;4.396;7714
80059;2021;65 a 69;2.601;3.738;6339
80059;2021;70 a 74;1.958;3.028;4986
80059;2021;75 e +;2.516;5.135;7651
80060;2021;00 a 04;2.458;2.349;4807
80060;2021;05 a 09;2.708;2.589;5297
80060;2021;10 a 14;2.529;2.422;4951
80060;2021;15 a 19;2.509;2.404;4913
80060;2021;20 a 24;2.648;2.500;5148
80060;2021;25 a 29;2.961;2.921;5882
80060;2021;30 a 34;4.054;4.302;8356
80060;2021;35 a 39;4.892;5.738;10630
80060;2021;40 a 44;5.093;5.776;10869
80060;2021;45 a 49;4.114;4.802;8916
80060;2021;50 a 54;3.639;4.194;7833
80060;2021;55 a 59;3.463;4.369;7832
80060;2021;60 a 64;3.408;4.471;7879
80060;2021;65 a 69;2.988;4.136;7124
80060;2021;70 a 74;2.323;3.501;5824
80060;2021;75 e +;2.850;5.640;8490
80061;2021;00 a 04;3.626;3.445;7071
80061;2021;05 a 09;3.671;3.486;7157
80061;2021;10 a 14;3.056;2.974;6030
80061;2021;15 a 19;3.265;3.187;6452
80061;2021;20 a 24;3.976;3.973;7949
80061;2021;25 a 29;3.866;3.925;7791
80061;2021;30 a 34;3.787;3.843;7630
80061;2021;35 a 39;3.327;3.662;6989
80061;2021;40 a 44;3.135;3.526;6661
80061;2021;45 a 49;2.989;3.203;6192
80061;2021;50 a 54;2.739;2.920;5659
80061;2021;55 a 59;2.184;2.416;4600
80061;2021;60 a 64;1.682;1.932;3614
80061;2021;65 a 69;1.210;1.431;2641
80061;2021;70 a 74;789;1.034;1823
80061;2021;75 e +;724;1.127;1851
80062;2021;00 a 04;1.388;1.327;2715
80062;2021;05 a 09;1.600;1.531;3131
80062;2021;10 a 14;1.439;1.313;2752
80062;2021;15 a 19;1.297;1.239;2536
80062;2021;20 a 24;1.344;1.320;2664
80062;2021;25 a 29;1.452;1.494;2946
80062;2021;30 a 34;2.058;2.179;4237
80062;2021;35 a 39;2.942;3.285;6227
80062;2021;40 a 44;3.071;3.465;6536
80062;2021;45 a 49;2.488;2.871;5359
80062;2021;50 a 54;2.106;2.563;4669
80062;2021;55 a 59;2.023;2.599;4622
80062;2021;60 a 64;1.842;2.569;4411
80062;2021;65 a 69;1.617;2.410;4027
80062;2021;70 a 74;1.263;1.965;3228
80062;2021;75 e +;1.834;3.882;5716
80063;2021;00 a 04;5.248;5.013;10261
80063;2021;05 a 09;5.594;5.349;10943
80063;2021;10 a 14;5.065;4.756;9821
80063;2021;15 a 19;5.203;4.904;10107
80063;2021;20 a 24;6.124;5.873;11997
80063;2021;25 a 29;6.193;6.199;12392
80063;2021;30 a 34;6.670;6.873;13543
80063;2021;35 a 39;7.003;7.439;14442
80063;2021;40 a 44;6.551;7.184;13735
80063;2021;45 a 49;5.569;6.489;12058
80063;2021;50 a 54;5.263;6.052;11315
80063;2021;55 a 59;4.830;5.866;10696
80063;2021;60 a 64;4.209;5.415;9624
80063;2021;65 a 69;3.250;4.409;7659
80063;2021;70 a 74;2.237;3.318;5555
80063;2021;75 e +;2.523;4.682;7205
80064;2021;00 a 04;2.617;2.504;5121
80064;2021;05 a 09;2.763;2.647;5410
80064;2021;10 a 14;2.553;2.465;5018
80064;2021;15 a 19;2.710;2.618;5328
80064;2021;20 a 24;3.316;3.218;6534
80064;2021;25 a 29;3.321;3.272;6593
80064;2021;30 a 34;3.513;3.693;7206
80064;2021;35 a 39;3.673;3.883;7556
80064;2021;40 a 44;3.230;3.604;6834
80064;2021;45 a 49;2.796;3.235;6031
80064;2021;50 a 54;2.683;3.136;5819
80064;2021;55 a 59;2.452;3.121;5573
80064;2021;60 a 64;2.238;2.983;5221
80064;2021;65 a 69;1.745;2.402;4147
80064;2021;70 a 74;1.208;1.842;3050
80064;2021;75 e +;1.421;2.712;4133
80065;2021;00 a 04;3.949;3.765;7714
80065;2021;05 a 09;4.194;3.998;8192
80065;2021;10 a 14;3.479;3.354;6833
80065;2021;15 a 19;3.696;3.628;7324
80065;2021;20 a 24;4.153;4.090;8243
80065;2021;25 a 29;4.116;4.092;8208
80065;2021;30 a 34;4.096;4.398;8494
80065;2021;35 a 39;4.338;4.867;9205
80065;2021;40 a 44;4.199;4.919;9118
80065;2021;45 a 49;3.626;4.252;7878
80065;2021;50 a 54;3.127;3.590;6717
80065;2021;55 a 59;2.481;3.080;5561
80065;2021;60 a 64;1.984;2.771;4755
80065;2021;65 a 69;1.601;2.278;3879
80065;2021;70 a 74;1.152;1.704;2856
80065;2021;75 e +;1.118;1.872;2990
80066;2021;00 a 04;1.640;1.571;3211
80066;2021;05 a 09;1.881;1.807;3688
80066;2021;10 a 14;1.319;1.383;2702
80066;2021;15 a 19;1.190;1.152;2342
80066;2021;20 a 24;1.267;1.279;2546
80066;2021;25 a 29;1.558;1.605;3163
80066;2021;30 a 34;2.820;2.598;5418
80066;2021;35 a 39;3.710;3.308;7018
80066;2021;40 a 44;3.456;2.981;6437
80066;2021;45 a 49;2.950;2.404;5354
80066;2021;50 a 54;2.542;2.080;4622
80066;2021;55 a 59;2.063;1.943;4006
80066;2021;60 a 64;1.662;1.847;3509
80066;2021;65 a 69;1.226;1.621;2847
80066;2021;70 a 74;833;1.323;2156
80066;2021;75 e +;936;2.001;2937
80067;2021;00 a 04;4.569;4.357;8926
80067;2021;05 a 09;4.992;4.758;9750
80067;2021;10 a 14;3.643;3.605;7248
80067;2021;15 a 19;3.746;3.558;7304
80067;2021;20 a 24;4.233;4.166;8399
80067;2021;25 a 29;4.284;4.251;8535
80067;2021;30 a 34;4.848;4.949;9797
80067;2021;35 a 39;5.208;5.551;10759
80067;2021;40 a 44;4.821;5.390;10211
80067;2021;45 a 49;4.132;4.663;8795
80067;2021;50 a 54;3.789;4.179;7968
80067;2021;55 a 59;3.313;3.881;7194
80067;2021;60 a 64;2.723;3.522;6245
80067;2021;65 a 69;2.086;2.755;4841
80067;2021;70 a 74;1.455;2.100;3555
80067;2021;75 e +;1.645;2.861;4506
80068;2021;00 a 04;7.927;7.573;15500
80068;2021;05 a 09;8.349;7.983;16332
80068;2021;10 a 14;7.967;7.480;15447
80068;2021;15 a 19;8.262;8.010;16272
80068;2021;20 a 24;9.510;9.418;18928
80068;2021;25 a 29;9.837;9.844;19681
80068;2021;30 a 34;10.697;10.922;21619
80068;2021;35 a 39;11.382;12.077;23459
80068;2021;40 a 44;10.597;11.609;22206
80068;2021;45 a 49;9.076;10.313;19389
80068;2021;50 a 54;8.172;9.193;17365
80068;2021;55 a 59;7.118;8.752;15870
80068;2021;60 a 64;6.091;7.689;13780
80068;2021;65 a 69;4.617;6.212;10829
80068;2021;70 a 74;3.083;4.627;7710
80068;2021;75 e +;3.536;6.763;10299
80069;2021;00 a 04;2.290;2.188;4478
80069;2021;05 a 09;2.548;2.434;4982
80069;2021;10 a 14;2.011;1.900;3911
80069;2021;15 a 19;1.850;1.748;3598
80069;2021;20 a 24;2.074;2.000;4074
80069;2021;25 a 29;2.394;2.455;4849
80069;2021;30 a 34;3.418;3.714;7132
80069;2021;35 a 39;4.290;4.681;8971
80069;2021;40 a 44;3.990;4.457;8447
80069;2021;45 a 49;3.459;3.569;7028
80069;2021;50 a 54;3.040;3.269;6309
80069;2021;55 a 59;2.726;3.102;5828
80069;2021;60 a 64;2.305;3.048;5353
80069;2021;65 a 69;1.874;2.696;4570
80069;2021;70 a 74;1.385;2.175;3560
80069;2021;75 e +;1.777;3.745;5522
80070;2021;00 a 04;2.814;2.698;5512
80070;2021;05 a 09;3.087;2.962;6049
80070;2021;10 a 14;2.472;2.411;4883
80070;2021;15 a 19;2.458;2.385;4843
80070;2021;20 a 24;2.983;2.945;5928
80070;2021;25 a 29;3.379;3.360;6739
80070;2021;30 a 34;3.924;4.603;8527
80070;2021;35 a 39;4.328;5.407;9735
80070;2021;40 a 44;4.005;5.116;9121
80070;2021;45 a 49;3.528;4.421;7949
80070;2021;50 a 54;3.364;4.245;7609
80070;2021;55 a 59;3.439;4.481;7920
80070;2021;60 a 64;3.261;4.523;7784
80070;2021;65 a 69;2.756;4.019;6775
80070;2021;70 a 74;2.030;3.139;5169
80070;2021;75 e +;2.604;5.519;8123
80071;2021;00 a 04;1.688;1.610;3298
80071;2021;05 a 09;1.903;1.817;3720
80071;2021;10 a 14;1.746;1.749;3495
80071;2021;15 a 19;1.805;1.790;3595
80071;2021;20 a 24;2.108;1.936;4044
80071;2021;25 a 29;2.198;2.090;4288
80071;2021;30 a 34;2.426;2.468;4894
80071;2021;35 a 39;2.827;2.917;5744
80071;2021;40 a 44;2.855;3.268;6123
80071;2021;45 a 49;2.711;3.181;5892
80071;2021;50 a 54;2.475;2.929;5404
80071;2021;55 a 59;2.471;2.855;5326
80071;2021;60 a 64;2.196;2.729;4925
80071;2021;65 a 69;1.842;2.463;4305
80071;2021;70 a 74;1.427;2.133;3560
80071;2021;75 e +;2.065;3.727;5792
80072;2021;00 a 04;3.857;3.689;7546
80072;2021;05 a 09;4.028;3.857;7885
80072;2021;10 a 14;3.941;3.838;7779
80072;2021;15 a 19;4.139;4.001;8140
80072;2021;20 a 24;4.752;4.618;9370
80072;2021;25 a 29;4.996;4.986;9982
80072;2021;30 a 34;5.651;5.685;11336
80072;2021;35 a 39;5.983;6.127;12110
80072;2021;40 a 44;5.411;5.927;11338
80072;2021;45 a 49;4.758;5.336;10094
80072;2021;50 a 54;4.377;5.106;9483
80072;2021;55 a 59;4.360;5.231;9591
80072;2021;60 a 64;3.736;4.674;8410
80072;2021;65 a 69;2.883;3.948;6831
80072;2021;70 a 74;2.051;3.164;5215
80072;2021;75 e +;2.738;5.034;7772
80073;2021;00 a 04;5.230;4.989;10219
80073;2021;05 a 09;5.497;5.249;10746
80073;2021;10 a 14;4.810;4.557;9367
80073;2021;15 a 19;5.137;4.872;10009
80073;2021;20 a 24;6.209;6.088;12297
80073;2021;25 a 29;6.152;6.030;12182
80073;2021;30 a 34;6.346;6.420;12766
80073;2021;35 a 39;6.347;6.736;13083
80073;2021;40 a 44;5.701;6.184;11885
80073;2021;45 a 49;5.102;5.638;10740
80073;2021;50 a 54;4.631;5.273;9904
80073;2021;55 a 59;4.077;4.904;8981
80073;2021;60 a 64;3.474;4.325;7799
80073;2021;65 a 69;2.679;3.351;6030
80073;2021;70 a 74;1.854;2.542;4396
80073;2021;75 e +;2.008;3.315;5323
80074;2021;00 a 04;3.422;3.271;6693
80074;2021;05 a 09;3.610;3.454;7064
80074;2021;10 a 14;2.729;2.624;5353
80074;2021;15 a 19;2.808;2.686;5494
80074;2021;20 a 24;3.440;3.456;6896
80074;2021;25 a 29;3.471;3.468;6939
80074;2021;30 a 34;3.561;3.769;7330
80074;2021;35 a 39;3.433;3.613;7046
80074;2021;40 a 44;2.943;3.337;6280
80074;2021;45 a 49;2.741;3.029;5770
80074;2021;50 a 54;2.600;3.002;5602
80074;2021;55 a 59;2.304;2.819;5123
80074;2021;60 a 64;1.931;2.461;4392
80074;2021;65 a 69;1.412;1.882;3294
80074;2021;70 a 74;982;1.404;2386
80074;2021;75 e +;1.190;2.171;3361
80075;2021;00 a 04;5.607;5.342;10949
80075;2021;05 a 09;5.660;5.394;11054
80075;2021;10 a 14;5.612;5.438;11050
80075;2021;15 a 19;6.419;6.157;12576
80075;2021;20 a 24;7.360;7.196;14556
80075;2021;25 a 29;6.936;6.728;13664
80075;2021;30 a 34;6.448;6.484;12932
80075;2021;35 a 39;6.104;6.677;12781
80075;2021;40 a 44;5.872;6.440;12312
80075;2021;45 a 49;5.560;5.938;11498
80075;2021;50 a 54;5.022;5.341;10363
80075;2021;55 a 59;4.049;4.508;8557
80075;2021;60 a 64;3.074;3.520;6594
80075;2021;65 a 69;2.224;2.692;4916
80075;2021;70 a 74;1.481;2.028;3509
80075;2021;75 e +;1.489;2.233;3722
80076;2021;00 a 04;9.785;9.346;19131
80076;2021;05 a 09;10.162;9.713;19875
80076;2021;10 a 14;9.127;8.779;17906
80076;2021;15 a 19;9.826;9.405;19231
80076;2021;20 a 24;11.616;11.386;23002
80076;2021;25 a 29;11.574;11.706;23280
80076;2021;30 a 34;12.231;12.277;24508
80076;2021;35 a 39;11.808;12.609;24417
80076;2021;40 a 44;10.666;11.415;22081
80076;2021;45 a 49;9.367;10.279;19646
80076;2021;50 a 54;8.339;9.704;18043
80076;2021;55 a 59;7.383;9.122;16505
80076;2021;60 a 64;6.323;8.003;14326
80076;2021;65 a 69;4.879;6.308;11187
80076;2021;70 a 74;3.293;4.782;8075
80076;2021;75 e +;3.305;5.887;9192
80077;2021;00 a 04;2.985;2.854;5839
80077;2021;05 a 09;3.433;3.282;6715
80077;2021;10 a 14;2.993;2.938;5931
80077;2021;15 a 19;2.798;2.825;5623
80077;2021;20 a 24;3.056;3.039;6095
80077;2021;25 a 29;3.366;3.390;6756
80077;2021;30 a 34;4.485;4.581;9066
80077;2021;35 a 39;5.737;6.292;12029
80077;2021;40 a 44;5.891;6.627;12518
80077;2021;45 a 49;4.881;5.684;10565
80077;2021;50 a 54;4.410;5.160;9570
80077;2021;55 a 59;4.154;5.232;9386
80077;2021;60 a 64;3.974;5.318;9292
80077;2021;65 a 69;3.343;4.758;8101
